Team,Year,GF,PK SI,PK SI/GP,PK GA,PK GA/GP,PK%,PKT,PK time/GP,SHG,PK GF/GP,GF/GP,GA,GA/GP,GF even,GF even/GP,GA even,GA even/GP,PPG,PPG/GP,PP GA,PP GA/GP,SOWGF,SOWGA,2' ,5',10',GM,MP,PIM Total,PP OP,PP OP/GP,PP%,PPT,PP time/GP,Number of year
EHC Olten,1516,178,184,4.09,25,0.56,86.41,18530,411,8,0.18,3.96,124,2.76,133,2.96,86,1.91,35,0.78,7,0.16,2,6,210,4,4,4,0,560,174,3.87,20.11,16527,367,1
EHC Visp,0910,224,234,5.20,43,0.96,81.62,21807,484,16,0.36,4.98,140,3.11,159,3.53,89,1.98,61,1.36,7,0.16,3,1,272,3,7,3,1,709,226,5.02,26.99,20134,447,1
EHC Visp,1011,153,213,4.73,40,0.89,81.22,22810,506,11,0.24,3.4,152,3.38,91,2.02,101,2.24,44,0.98,9,0.2,7,2,251,5,7,5,0,697,198,4.4,22.22,18938,420,1
EHC Visp,1112,170,219,4.87,46,1.02,79.0,19920,442,9,0.2,3.78,150,3.33,120,2.67,98,2.18,39,0.87,5,0.11,2,1,247,3,7,3,1,659,192,4.27,20.31,18036,400,1
EHC Visp,1213,194,233,4.66,37,0.74,84.12,21053,421,9,0.18,3.88,161,3.22,139,2.78,116,2.32,42,0.84,5,0.1,4,3,266,0,19,0,0,722,203,4.06,20.69,18659,373,1
EHC Visp,1314,163,202,4.49,42,0.93,79.21,18630,414,7,0.16,3.62,164,3.64,107,2.38,113,2.51,44,0.98,8,0.18,5,1,225,0,7,1,0,540,176,3.91,25.0,16074,357,1
EHC Visp,1415,190,217,4.52,35,0.73,83.87,21642,450,9,0.19,3.96,162,3.38,128,2.67,121,2.52,50,1.04,4,0.08,3,2,254,2,2,1,1,578,213,4.44,23.47,18851,392,1
EHC Visp,1516,164,187,4.16,35,0.78,81.28,18084,401,8,0.18,3.64,161,3.58,125,2.78,122,2.71,28,0.62,3,0.07,3,1,226,3,7,3,0,597,161,3.58,17.39,15104,335,1
EHC Winterthur,1516,99,189,4.2,30,0.67,84.13,17971,399,2,0.04,2.2,196,4.36,64,1.42,153,3.4,32,0.71,11,0.24,1,2,206,3,1,3,0,497,204,4.53,15.69,19233,427,1
EV Zug,0809,171,289,5.78,46,0.92,84.08,27187,543,8,0.16,3.42,166,3.32,114,2.28,112,2.24,49,0.98,8,0.16,0,0,317,6,7,7,0,874,290,5.8,16.9,26644,532,1
EV Zug,0910,165,229,4.58,34,0.68,85.15,22240,444,6,0.12,3.3,125,2.5,101,2.02,86,1.72,50,1.0,4,0.08,3,1,289,3,12,3,0,773,221,4.42,22.62,20536,410,1
EV Zug,1011,176,224,4.48,37,0.74,83.48,22101,442,2,0.04,3.52,143,2.86,135,2.7,102,2.04,36,0.72,2,0.04,3,2,280,4,21,7,0,930,200,4.0,18.0,19159,383,1
EV Zug,1112,173,221,4.42,27,0.54,87.78,22282,445,5,0.1,3.46,131,2.62,122,2.44,91,1.82,41,0.82,7,0.14,5,6,280,8,11,7,1,870,198,3.96,20.71,22629,452,1
EV Zug,1213,172,236,4.72,42,0.84,82.2,21999,439,4,0.08,3.44,154,3.08,114,2.28,101,2.02,51,1.02,7,0.14,3,4,262,4,7,3,1,694,236,4.72,21.61,21605,432,1
EV Zug,1314,132,225,4.5,47,0.94,79.11,19584,391,6,0.12,2.64,156,3.12,95,1.9,98,1.96,30,0.6,4,0.08,1,7,249,2,10,1,1,648,207,4.14,14.49,20663,413,1
EV Zug,1415,166,211,4.22,38,0.76,81.99,21440,428,9,0.18,3.32,126,2.52,115,2.3,81,1.62,37,0.74,3,0.06,5,4,244,4,5,4,0,638,196,3.92,18.88,18726,374,1
EV Zug,1516,161,188,3.76,34,0.68,81.91,18557,371,3,0.06,3.22,138,2.76,113,2.26,98,1.96,43,0.86,3,0.06,2,3,212,6,4,7,0,634,195,3.9,22.05,18433,368,1
Fribourg-Gottéron,0809,154,273,5.46,54,1.08,80.22,24904,498,8,0.16,3.08,143,2.86,99,1.98,84,1.68,47,0.94,5,0.1,0,0,311,2,14,2,1,832,289,5.78,16.26,27352,547,1
Fribourg-Gottéron,0910,145,228,4.56,42,0.84,81.58,22027,440,6,0.12,2.9,160,3.2,101,2.02,107,2.14,35,0.7,8,0.16,3,3,256,1,11,1,0,647,219,4.38,15.98,19769,395,1
Fribourg-Gottéron,1011,157,208,4.16,41,0.82,80.29,20690,413,3,0.06,3.14,154,3.08,103,2.06,106,2.12,45,0.9,4,0.08,6,3,241,4,7,5,1,692,208,4.16,21.63,19431,388,1
Fribourg-Gottéron,1112,156,188,3.76,28,0.56,85.11,18893,377,3,0.06,3.12,120,2.4,115,2.3,84,1.68,35,0.7,5,0.1,3,3,225,4,7,4,0,620,203,4.06,17.24,19880,397,1
Fribourg-Gottéron,1213,163,227,4.54,35,0.7,84.58,21872,437,2,0.04,3.26,123,2.46,109,2.18,81,1.62,45,0.9,3,0.06,7,4,250,2,6,1,1,610,226,4.52,19.91,20752,415,1
Fribourg-Gottéron,1314,151,196,3.92,30,0.6,84.69,19250,385,2,0.04,3.02,147,2.94,115,2.3,104,2.08,32,0.64,10,0.2,2,3,220,5,12,5,0,685,176,3.52,18.18,17144,342,1
Fribourg-Gottéron,1415,144,195,3.9,32,0.64,83.59,19042,380,3,0.06,2.88,177,3.54,106,2.12,135,2.7,29,0.58,7,0.14,6,3,229,3,8,3,0,613,191,3.82,15.18,20677,413,1
Fribourg-Gottéron,1516,148,165,3.3,41,0.82,75.15,15199,303,5,0.1,2.96,154,3.08,101,2.02,104,2.08,40,0.8,6,0.12,2,3,201,5,5,7,0,617,197,3.94,20.3,17731,354,1
GCK Lions,0910,123,251,5.58,60,1.33,76.10,21966,488,9,0.20,2.73,199,4.42,83,1.84,129,2.87,39,0.87,10,0.22,2,0,290,1,10,1,0,705,214,4.76,18.22,20198,448,1
