Team,Year,GF,PK SI,PK SI/GP,PK GA,PK GA/GP,PK%,PKT,PK time/GP,SHG,PK GF/GP,GF/GP,GA,GA/GP,GF even,GF even/GP,GA even,GA even/GP,PPG,PPG/GP,PP GA,PP GA/GP,SOWGF,SOWGA,2' ,5',10',GM,MP,PIM Total,PP OP,PP OP/GP,PP%,PPT,PP time/GP,Number of year
Lausanne HC,1112,186,196,4.36,25,0.56,87.24,18388,408,6,0.13,4.13,115,2.56,130,2.89,79,1.76,46,1.02,5,0.11,4,1,242,3,10,1,2,659,213,4.73,21.6,19628,436,1
Lausanne HC,1213,203,223,4.46,34,0.68,84.75,20061,401,8,0.16,4.06,132,2.64,149,2.98,91,1.82,45,0.9,6,0.12,1,1,277,2,17,2,0,774,223,4.46,20.18,20935,418,1
Lausanne HC,1314,104,188,3.76,28,0.56,85.11,18516,370,6,0.12,2.08,115,2.3,62,1.24,79,1.58,34,0.68,5,0.1,2,3,212,2,9,2,0,564,185,3.7,18.38,18049,360,1
Lausanne HC,1415,105,169,3.38,34,0.68,79.88,16777,335,2,0.04,2.1,116,2.32,70,1.4,72,1.44,29,0.58,6,0.12,4,4,186,3,4,5,0,527,185,3.7,15.68,18457,369,1
Lausanne HC,1516,123,172,3.44,36,0.72,79.07,16717,334,1,0.02,2.46,143,2.86,88,1.76,98,1.96,30,0.6,7,0.14,4,2,185,2,1,2,0,430,179,3.58,16.76,17186,343,1
Neuchâtel,0910,0,0,-,0,-,-,0,0,2,-,-,0,-,23,-,0,-,7,-,0,-,0,0,98,0,3,0,0,226,0,-,-,0,0,1
SC Bern,0809,187,262,5.24,51,1.02,80.53,26321,526,12,0.24,3.74,136,2.72,120,2.4,82,1.64,55,1.1,3,0.06,0,0,288,8,9,7,1,866,251,5.02,21.91,22424,448,1
SC Bern,0910,154,200,4.0,28,0.56,86.0,19447,388,4,0.08,3.08,117,2.34,113,2.26,82,1.64,34,0.68,3,0.06,3,4,243,2,10,2,0,636,198,3.96,17.17,19287,385,1
SC Bern,1011,160,184,3.68,26,0.52,85.87,18462,369,5,0.1,3.2,117,2.34,119,2.38,86,1.72,30,0.6,2,0.04,6,3,213,1,6,1,0,511,178,3.56,16.85,17020,340,1
SC Bern,1112,153,195,3.9,24,0.48,87.69,19108,382,2,0.04,3.06,130,2.6,110,2.2,99,1.98,36,0.72,4,0.08,5,3,220,3,5,2,1,565,179,3.58,20.11,16799,335,1
SC Bern,1213,169,201,4.02,29,0.58,85.57,19655,393,6,0.12,3.38,117,2.34,111,2.22,72,1.44,50,1.0,12,0.24,2,4,219,1,7,1,0,533,235,4.7,21.28,22391,447,1
SC Bern,1314,126,187,3.74,32,0.64,82.89,17699,353,4,0.08,2.52,129,2.58,87,1.74,92,1.84,34,0.68,3,0.06,1,2,204,4,7,5,0,598,191,3.82,17.8,18070,361,1
SC Bern,1415,158,184,3.68,27,0.54,85.33,19010,380,3,0.06,3.16,120,2.4,117,2.34,83,1.66,35,0.7,5,0.1,3,5,222,5,2,5,0,589,175,3.5,20.0,16907,338,1
SC Bern,1516,152,190,3.8,37,0.74,80.53,17428,348,4,0.08,3.04,162,3.24,95,1.9,117,2.34,51,1.02,3,0.06,2,5,233,4,7,4,0,636,212,4.24,24.06,19164,383,1
SC Langenthal,0910,124,193,4.29,36,0.80,81.35,18029,400,2,0.04,2.76,156,3.47,86,1.91,110,2.44,38,0.84,10,0.22,3,0,224,0,10,1,0,568,229,5.09,16.59,22097,491,1
SC Langenthal,1011,173,212,4.71,41,0.91,80.66,20335,451,7,0.16,3.84,157,3.49,122,2.71,110,2.44,41,0.91,5,0.11,3,1,227,3,5,3,1,599,215,4.78,19.07,20520,456,1
SC Langenthal,1112,157,179,3.98,27,0.6,84.92,17417,387,7,0.16,3.49,110,2.44,101,2.24,76,1.69,48,1.07,4,0.09,1,3,192,2,4,2,0,474,210,4.67,22.86,20019,444,1
SC Langenthal,1213,182,201,4.02,31,0.62,84.58,19582,391,7,0.14,3.64,113,2.26,111,2.22,73,1.46,61,1.22,6,0.12,3,3,213,0,2,0,0,446,232,4.64,26.29,21191,423,1
SC Langenthal,1314,145,169,3.76,30,0.67,82.25,16715,371,7,0.16,3.22,125,2.78,103,2.29,91,2.02,33,0.73,4,0.09,2,0,190,2,3,3,0,480,163,3.62,20.25,15963,354,1
SC Langenthal,1415,140,239,4.98,42,0.88,82.43,22516,469,7,0.15,2.92,147,3.06,90,1.88,101,2.1,40,0.83,2,0.04,3,2,258,2,4,1,1,606,198,4.12,20.2,18262,380,1
SC Langenthal,1516,164,203,4.51,30,0.67,85.22,19415,431,4,0.09,3.64,122,2.71,116,2.58,87,1.93,41,0.91,1,0.02,3,4,243,1,2,3,0,571,166,3.69,24.7,15030,334,1
SC Rapperswil-Jona Lakers,0809,143,271,5.42,63,1.26,76.75,25251,505,3,0.06,2.86,208,4.16,94,1.88,136,2.72,46,0.92,9,0.18,0,0,290,7,11,8,0,885,265,5.3,17.36,24235,484,1
SC Rapperswil-Jona Lakers,0910,129,196,3.92,42,0.84,78.57,18762,375,4,0.08,2.58,154,3.08,89,1.78,104,2.08,36,0.72,6,0.12,0,2,221,1,6,1,0,527,196,3.92,18.37,17912,358,1
SC Rapperswil-Jona Lakers,1011,138,219,4.38,47,0.94,78.54,20776,415,3,0.06,2.76,184,3.68,100,2.0,125,2.5,32,0.64,6,0.12,3,6,245,2,10,2,0,640,178,3.56,17.98,17505,350,1
SC Rapperswil-Jona Lakers,1112,99,199,3.98,35,0.7,82.41,19710,394,2,0.04,1.98,172,3.44,68,1.36,128,2.56,28,0.56,9,0.18,1,0,213,5,10,5,1,671,172,3.44,16.28,16494,329,1
SC Rapperswil-Jona Lakers,1213,139,206,4.12,43,0.86,79.13,19256,385,3,0.06,2.78,207,4.14,96,1.92,158,3.16,38,0.76,4,0.08,2,2,219,0,11,0,0,548,212,4.24,17.92,19324,386,1
SC Rapperswil-Jona Lakers,1314,117,203,4.06,53,1.06,73.89,18753,375,1,0.02,2.34,200,4.0,92,1.84,135,2.7,23,0.46,7,0.14,1,5,236,1,11,2,0,627,208,4.16,11.06,20201,404,1
SC Rapperswil-Jona Lakers,1415,121,192,3.84,30,0.6,84.38,18435,368,4,0.08,2.42,165,3.3,72,1.44,124,2.48,41,0.82,6,0.12,4,5,218,0,4,2,0,516,199,3.98,20.6,18806,376,1
SC Rapperswil-Jona Lakers,1516,162,164,3.64,26,0.58,84.15,16405,364,5,0.11,3.6,105,2.33,111,2.47,76,1.69,43,0.96,2,0.04,3,1,196,8,4,7,1,632,183,4.07,23.5,17201,382,1
SCL Tigers,0809,170,304,6.08,64,1.28,78.95,26107,522,7,0.14,3.4,180,3.6,104,2.08,107,2.14,59,1.18,9,0.18,0,0,330,4,10,4,1,880,316,6.32,18.67,27230,544,1
SCL Tigers,0910,141,206,4.12,42,0.84,79.61,18592,371,3,0.06,2.82,192,3.84,94,1.88,136,2.72,42,0.84,10,0.2,2,4,221,0,4,1,0,502,237,4.74,17.72,22977,459,1
SCL Tigers,1011,149,179,3.58,33,0.66,81.56,17202,344,4,0.08,2.98,154,3.08,105,2.1,108,2.16,37,0.74,8,0.16,3,5,216,3,7,3,1,597,221,4.42,16.74,21249,424,1
SCL Tigers,1112,124,209,4.18,46,0.92,77.99,20178,403,4,0.08,2.48,166,3.32,89,1.78,111,2.22,29,0.58,7,0.14,2,2,236,5,18,6,0,797,203,4.06,14.29,20023,400,1
SCL Tigers,1213,117,234,4.68,51,1.02,78.21,21118,422,4,0.08,2.34,192,3.84,72,1.44,130,2.6,39,0.78,6,0.12,2,5,255,3,12,5,0,745,243,4.86,16.05,21882,437,1
SCL Tigers,1314,139,187,4.16,33,0.73,82.35,17501,388,4,0.09,3.09,123,2.73,97,2.16,85,1.89,37,0.82,2,0.04,1,3,206,3,18,6,0,727,219,4.87,16.89,21156,470,1
SCL Tigers,1415,182,224,4.67,29,0.6,87.05,20277,422,6,0.12,3.79,126,2.62,127,2.65,86,1.79,47,0.98,9,0.19,2,2,261,2,1,1,1,582,258,5.38,18.22,23404,487,1
SCL Tigers,1516,135,210,4.2,43,0.86,79.52,20350,407,0,0.0,2.7,173,3.46,103,2.06,124,2.48,29,0.58,5,0.1,3,1,225,4,1,4,0,560,182,3.64,15.93,18278,365,1
ZSC Lions,0809,176,242,4.84,37,0.74,84.71,21693,433,9,0.18,3.52,149,2.98,108,2.16,106,2.12,59,1.18,6,0.12,0,0,274,2,10,2,0,698,280,5.6,21.07,25615,512,1
ZSC Lions,0910,185,217,4.34,42,0.84,80.65,18915,378,5,0.1,3.7,165,3.3,133,2.66,104,2.08,45,0.9,10,0.2,2,4,261,0,9,0,0,612,227,4.54,19.82,20978,419,1
ZSC Lions,1011,132,218,4.36,37,0.74,83.03,21283,425,1,0.02,2.64,156,3.12,91,1.82,110,2.2,36,0.72,4,0.08,4,5,264,4,11,4,0,738,212,4.24,16.98,20614,412,1
ZSC Lions,1112,136,185,3.7,35,0.7,81.08,18666,373,7,0.14,2.72,129,2.58,106,2.12,89,1.78,19,0.38,3,0.06,4,2,203,1,9,1,0,521,196,3.92,9.69,19963,399,1
ZSC Lions,1213,152,190,3.8,35,0.7,81.58,17568,351,9,0.18,3.04,131,2.62,108,2.16,93,1.86,33,0.66,1,0.02,2,2,211,1,4,1,0,487,203,4.06,16.26,19255,385,1
ZSC Lions,1314,167,186,3.72,31,0.62,83.33,17885,357,6,0.12,3.34,111,2.22,120,2.4,68,1.36,41,0.82,6,0.12,0,6,218,0,9,3,0,586,192,3.84,21.35,17747,354,1
ZSC Lions,1415,148,187,3.74,27,0.54,85.56,18267,365,3,0.06,2.96,106,2.12,115,2.3,73,1.46,28,0.56,1,0.02,2,5,213,1,1,1,0,461,180,3.6,15.56,17449,348,1
ZSC Lions,1516,173,170,3.4,36,0.72,78.82,17067,341,6,0.12,3.46,125,2.5,122,2.44,81,1.62,45,0.9,2,0.04,0,6,191,2,1,3,0,462,179,3.58,25.14,16703,334,1
