R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
323;Karrer Roger;ZSC Lions;Verteidiger;5;0;3;0;0.60
324;Grigioni Manuel;SC Rapperswil-Jona Lakers;Verteidiger;20;0;3;0;0.15
325;Brunold Alain;Fribourg-Gottéron;Stürmer;1;0;3;0;3.00
326;Marchon Nathan;Fribourg-Gottéron;Stürmer;2;0;2;0;1.00
327;Marchon Marc;EV Zug;Stürmer;4;0;2;0;0.50
328;Leino Ville;Kloten Flyers;Stürmer;4;0;2;0;0.50
329;Hüsler Cedric;SC Rapperswil-Jona Lakers;Stürmer;6;0;2;0;0.33
330;Grossniklaus Tim;SC Bern;Verteidiger;8;0;2;0;0.25
331;Egli Chris;HC Davos;Stürmer;2;0;2;0;1.00
332;Balmelli Lukas;HC Lugano;Stürmer;4;0;2;0;0.50
333;Zangger Marc;Fribourg-Gottéron;Verteidiger;17;0;1;0;0.06
334;Kessler Tino;HC Davos;Stürmer;2;0;1;0;0.50
335;Impose Auguste;Genève-Servette HC;Stürmer;4;0;1;0;0.25
336;Hartmann Jan Lee;Kloten Flyers;Stürmer;1;0;1;0;1.00
337;El Assaoui Sami;Kloten Flyers;Verteidiger;6;0;1;0;0.17
338;Burki Codey;Fribourg-Gottéron;Stürmer;2;0;1;0;0.50
339;Zanzi Gianluca;HC Lugano;Stürmer;1;0;0;-;0.00
340;Wüst Philipp;Fribourg-Gottéron;Stürmer;1;0;0;-;0.00
341;Wildhaber David;Fribourg-Gottéron;Verteidiger;5;0;0;-;0.00
342;Sutter Dave;Fribourg-Gottéron;Verteidiger;2;0;0;-;0.00
343;Studer Thomas;Kloten Flyers;Stürmer;1;0;0;-;0.00
344;Steinauer Joel;Kloten Flyers;Verteidiger;2;0;0;-;0.00
345;Schwarzenbach Diego;Fribourg-Gottéron;Stürmer;2;0;0;-;0.00
346;Sartori Jonathan;HC Lugano;Stürmer;3;0;0;-;0.00
347;Müller Loris;HC Lugano;Stürmer;1;0;0;-;0.00
348;Matewa Tony;Fribourg-Gottéron;Verteidiger;2;0;0;-;0.00
349;Marti Aurélien;Lausanne HC;Verteidiger;3;0;0;-;0.00
350;Marghitola Daniele;Fribourg-Gottéron;Verteidiger;1;0;0;-;0.00
