R;Spieler;Team;Pos;GP;G;A;A1;A2;GWG;EQG;EQA;PPG;PPA;SHG;SHA
148;Rytz Philippe;SC Bern;Verteidiger;4;0;0;0;0;0;0;0;0;0;0;0
149;Ryser Sven;ZSC Lions;Stürmer;4;0;0;0;0;0;0;0;0;0;0;0
150;Romy Kevin;HC Lugano;Stürmer;2;0;0;0;0;0;0;0;0;0;0;0
151;Rizzi Sandro;HC Davos;Verteidiger;6;0;0;0;0;0;0;0;0;0;0;0
152;Reist Alain;ZSC Lions;Verteidiger;7;0;0;0;0;0;0;0;0;0;0;0
153;Profico Leandro;HC Lugano;Verteidiger;2;0;0;0;0;0;0;0;0;0;0;0
154;Pivron Pierrick;Genève-Servette HC;Stürmer;20;0;0;0;0;0;0;0;0;0;0;0
155;Nodari Matteo;HC Lugano;Verteidiger;4;0;0;0;0;0;0;0;0;0;0;0
156;Ngoy Michael;Fribourg-Gottéron;Verteidiger;7;0;0;0;0;0;0;0;0;0;0;0
157;Näser Andy;HC Lugano;Stürmer;4;0;0;0;0;0;0;0;0;0;0;0
158;Müller Yves;Kloten Flyers;Verteidiger;5;0;0;0;0;0;0;0;0;0;0;0
159;Müller Pascal;ZSC Lions;Verteidiger;7;0;0;0;0;0;0;0;0;0;0;0
160;Lüssy Silvan;HC Davos;Stürmer;3;0;0;0;0;0;0;0;0;0;0;0
161;Loichat Michaël;EV Zug;Stürmer;6;0;0;0;0;0;0;0;0;0;0;0
162;Loeffel Romain;Fribourg-Gottéron;Verteidiger;6;0;0;0;0;0;0;0;0;0;0;0
163;Leblanc Robin;Fribourg-Gottéron;Stürmer;1;0;0;0;0;0;0;0;0;0;0;0
164;Kostovic Dario;ZSC Lions;Stürmer;3;0;0;0;0;0;0;0;0;0;0;0
165;Kienzle Lorenz;ZSC Lions;Verteidiger;3;0;0;0;0;0;0;0;0;0;0;0
166;Jörg Mauro;HC Lugano;Stürmer;4;0;0;0;0;0;0;0;0;0;0;0
167;Jacquemet Arnaud;Kloten Flyers;Stürmer;10;0;0;0;0;0;0;0;0;0;0;0
168;Helbling Timo;HC Lugano;Verteidiger;4;0;0;0;0;0;0;0;0;0;0;0
169;Hasani Adam;Fribourg-Gottéron;Stürmer;2;0;0;0;0;0;0;0;0;0;0;0
170;Hamilton Jeff;HC Lugano;Stürmer;4;0;0;0;0;0;0;0;0;0;0;0
171;Geering Patrick;ZSC Lions;Verteidiger;7;0;0;0;0;0;0;0;0;0;0;0
172;Gartmann Dario;HC Davos;Stürmer;1;0;0;0;0;0;0;0;0;0;0;0
173;Fischer Jannik;EV Zug;Verteidiger;3;0;0;0;0;0;0;0;0;0;0;0
174;Donati Gianni;HC Davos;Stürmer;6;0;0;0;0;0;0;0;0;0;0;0
175;Chiesa Alessandro;HC Lugano;Verteidiger;4;0;0;0;0;0;0;0;0;0;0;0
176;Carbis Daniel;HC Davos;Stürmer;4;0;0;0;0;0;0;0;0;0;0;0
177;Bühler Cyrill;ZSC Lions;Stürmer;7;0;0;0;0;0;0;0;0;0;0;0
178;Botter Cédric;Fribourg-Gottéron;Stürmer;5;0;0;0;0;0;0;0;0;0;0;0
179;Bonnet Julien;Kloten Flyers;Verteidiger;2;0;0;0;0;0;0;0;0;0;0;0
180;Blaser Yannick;EV Zug;Verteidiger;13;0;0;0;0;0;0;0;0;0;0;0
181;Barbero Victor;Genève-Servette HC;Stürmer;3;0;0;0;0;0;0;0;0;0;0;0
182;Banham Frank;Genève-Servette HC;Stürmer;2;0;0;0;0;0;0;0;0;0;0;0
183;Back Rene;HC Davos;Verteidiger;6;0;0;0;0;0;0;0;0;0;0;0
184;Antonietti Benjamin;Genève-Servette HC;Stürmer;5;0;0;0;0;0;0;0;0;0;0;0
185;Akerman Johan;HC Lugano;Verteidiger;3;0;0;0;0;0;0;0;0;0;0;0
