R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
153;Kress Michael;EV Zug;Verteidiger;3;0;0;0;0;0;0
154;Knoepfli Michael;Fribourg-Gottéron;Stürmer;11;0;0;0;0;0;0
155;Kamber Oliver;ZSC Lions;Stürmer;4;0;0;0;0;0;0
156;Jörg Mauro;HC Lugano;Stürmer;7;0;0;0;0;0;0
157;Heynen Fernando;Genève-Servette HC;Verteidiger;3;0;0;0;0;0;0
158;Gloor Kevin;ZSC Lions;Verteidiger;4;0;0;0;0;0;0
159;Gerber Lukas;HC Davos;Verteidiger;20;0;0;0;0;0;0
160;Genazzi Joël;Fribourg-Gottéron;Verteidiger;1;0;0;0;0;0;0
161;Froidevaux Etienne;SC Bern;Stürmer;6;0;0;0;0;0;0
162;Fransson Johan;HC Lugano;Verteidiger;4;0;0;0;0;0;0
163;Fischer Jannik;EV Zug;Verteidiger;10;0;0;0;0;0;0
164;Deruns Thomas;Genève-Servette HC;Stürmer;4;0;0;0;0;0;0
165;Della Rossa Patric;Kloten Flyers;Stürmer;2;0;0;0;0;0;0
166;Conz Florian;Genève-Servette HC;Stürmer;4;0;0;0;0;0;0
167;Conte Fabrizio;HC Lugano;Stürmer;7;0;0;0;0;0;0
168;Christen Björn;EV Zug;Stürmer;1;0;0;0;0;0;0
169;Chouinard Marc;Fribourg-Gottéron;Stürmer;3;0;0;0;0;0;0
170;Chatelain Alexander;SC Bern;Stürmer;6;0;0;0;0;0;0
171;Carbis Daniel;HC Davos;Stürmer;2;0;0;0;0;0;0
172;Cantoni Krister;HC Lugano;Verteidiger;7;0;0;0;0;0;0
173;Cadieux Jan;Genève-Servette HC;Stürmer;4;0;0;0;0;0;0
174;Bykov Andrey;Fribourg-Gottéron;Stürmer;9;0;0;0;0;0;0
175;Bucher Tobias;EV Zug;Stürmer;9;0;0;0;0;0;0
176;Bordeleau Sébastien;SC Bern;Stürmer;3;0;0;0;0;0;0
177;Bodenmann Simon;Kloten Flyers;Stürmer;9;0;0;0;0;0;0
178;Bodemann Yanick;EV Zug;Stürmer;10;0;0;0;0;0;0
179;Blindenbacher Severin;ZSC Lions;Verteidiger;4;0;0;0;0;0;0
180;Blaser Yannick;EV Zug;Verteidiger;9;0;0;0;0;0;0
181;Bianchi Elias;EV Zug;Stürmer;3;0;0;0;0;0;0
182;Berger Pascal;SC Bern;Stürmer;4;0;0;0;0;0;0
183;Bärtschi Patrik;SC Bern;Stürmer;5;0;0;0;0;0;0
184;Augsburger Gaëtan;Genève-Servette HC;Stürmer;4;0;0;0;0;0;0
185;Abplanalp Sandro;Fribourg-Gottéron;Stürmer;4;0;0;0;0;0;0
