R;Spieler;Team;Pos;GP;G;A;A1;A2;GWG;EQG;EQA;PPG;PPA;SHG;SHA
151;Moggi Sandro;SCL Tigers;Stürmer;20;4;5;5;0;0;1;5;3;0;0;0
152;Nummelin Petteri;HC Lugano;Verteidiger;11;4;5;4;1;1;2;1;2;4;0;0
153;Thibaudeau Nicolas;SC Rapperswil-Jona Lakers;Stürmer;47;4;4;4;0;0;4;4;0;0;0;0
154;Danielsson Nicklas;SC Bern;Stürmer;23;4;4;2;2;1;1;3;3;1;0;0
155;Spylo Ahren;EHC Biel;Stürmer;9;4;2;2;0;2;3;1;0;1;1;0
156;Bertschy Christoph;SC Bern;Stürmer;41;4;2;2;0;0;4;2;0;0;0;0
157;Botter Cédric;Fribourg-Gottéron;Stürmer;46;4;2;1;1;1;3;2;1;0;0;0
158;Gerber Adrian;SCL Tigers;Stürmer;47;4;1;1;0;0;4;1;0;0;0;0
159;Profico Leandro;HC Lugano;Verteidiger;40;4;1;0;1;1;4;1;0;0;0;0
160;Bianchi Mattia;HC Ambri-Piotta;Stürmer;32;4;0;0;0;1;3;0;1;0;0;0
161;Kenins Ronalds;ZSC Lions;Stürmer;45;3;14;6;8;0;3;13;0;1;0;0
162;Huguenin Anthony;EHC Biel;Verteidiger;41;3;12;6;6;0;1;6;2;6;0;0
163;Haas Lukas;SCL Tigers;Stürmer;38;3;11;7;4;0;2;8;1;3;0;0
164;Loeffel Romain;Fribourg-Gottéron;Verteidiger;34;3;10;2;8;1;2;3;1;7;0;0
165;Reber Jörg;SCL Tigers;Verteidiger;44;3;9;6;3;0;0;4;3;5;0;0
166;Botta Roman;HC Ambri-Piotta;Stürmer;25;3;9;6;3;0;2;7;1;2;0;0
167;Grossmann Robin;HC Davos;Verteidiger;46;3;9;3;6;1;2;8;1;0;0;1
168;Mercier Jonathan;Genève-Servette HC;Verteidiger;49;3;8;6;2;1;0;5;2;3;1;0
169;Rytz Philippe;SCL Tigers;Verteidiger;50;3;8;4;4;0;1;5;2;3;0;0
170;Fischer Patrick;EV Zug;Verteidiger;49;3;8;4;4;2;2;6;1;2;0;0
171;Chiesa Alessandro;EV Zug;Verteidiger;50;3;8;4;4;0;3;5;0;2;0;1
172;Wozniewski Andy;EV Zug;Verteidiger;35;3;7;3;4;0;2;4;0;2;1;1
173;Helbling Timo;EV Zug;Verteidiger;48;3;7;3;4;0;3;7;0;0;0;0
174;Liniger Michael;Kloten Flyers;Stürmer;18;3;6;6;0;2;3;5;0;1;0;0
175;Wetzel Philipp;EHC Biel;Stürmer;32;3;6;4;2;2;1;6;2;0;0;0
176;Nodari Matteo;HC Lugano;Verteidiger;44;3;6;3;3;1;3;5;0;1;0;0
177;Hecquefeuille Kevin;Genève-Servette HC;Verteidiger;21;3;5;3;2;0;3;3;0;2;0;0
178;Neuenschwander Caryl;SC Bern;Stürmer;48;3;5;2;3;1;3;5;0;0;0;0
179;Ennis Tyler;SCL Tigers;Stürmer;9;3;5;2;3;0;3;2;0;3;0;0
180;Spurgeon Jared;SCL Tigers;Verteidiger;12;3;4;3;1;0;1;1;2;3;0;0
181;Rizzi Sandro;HC Davos;Verteidiger;41;3;4;3;1;0;3;3;0;1;0;0
182;Dvorak Radek;HC Davos;Stürmer;7;3;4;2;2;0;2;3;1;1;0;0
183;Eriksson Loui;HC Davos;Stürmer;7;3;3;3;0;0;2;2;1;0;0;1
184;Simion Dario;HC Lugano;Stürmer;37;3;3;2;1;0;3;3;0;0;0;0
185;Trutmann Dario;EHC Biel;Verteidiger;46;3;3;1;2;0;2;2;0;1;1;0
186;Fritsche John;Genève-Servette HC;Stürmer;45;3;3;1;2;0;2;3;1;0;0;0
187;Sieber Lukas;HC Davos;Stürmer;15;3;2;2;0;0;3;2;0;0;0;0
188;Camenzind Andreas;SC Rapperswil-Jona Lakers;Verteidiger;15;3;2;1;1;0;3;1;0;1;0;0
189;Giroux Alexandre;Kloten Flyers;Stürmer;4;3;2;0;2;1;2;2;0;0;1;0
190;Rexha Alban;SCL Tigers;Stürmer;42;3;1;1;0;0;3;1;0;0;0;0
191;Sidler Patrick;HC Ambri-Piotta;Verteidiger;44;3;0;0;0;3;3;0;0;0;0;0
192;Blaser Yannick;EV Zug;Verteidiger;29;3;0;0;0;1;3;0;0;0;0;0
193;Rosa Pavel;HC Lugano;Stürmer;22;2;18;14;4;0;2;9;0;9;0;0
194;Wellinger Thomas;EHC Biel;Verteidiger;45;2;15;10;5;0;1;13;0;2;1;0
195;Jobin David;SC Bern;Verteidiger;46;2;15;5;10;0;2;5;0;10;0;0
196;Ramholt Tim;HC Davos;Verteidiger;50;2;13;7;6;0;2;9;0;4;0;0
197;Schneeberger Noah;HC Davos;Verteidiger;48;2;12;4;8;0;0;6;2;6;0;0
198;Randegger Gian-Andrea;Genève-Servette HC;Verteidiger;50;2;11;6;5;0;1;11;1;0;0;0
199;Lüthi Simon;SCL Tigers;Verteidiger;50;2;10;4;6;0;2;5;0;5;0;0
200;Ngoy Michael;Fribourg-Gottéron;Verteidiger;50;2;9;3;6;1;2;9;0;0;0;0
201;Lüthi Fabian;EV Zug;Stürmer;46;2;8;4;4;0;2;7;0;1;0;0
202;Geyer Cyrill;SC Rapperswil-Jona Lakers;Verteidiger;40;2;8;4;4;0;1;4;1;4;0;0
203;Schlumpf Dominik;HC Lugano;Verteidiger;50;2;8;3;5;0;2;7;0;1;0;0
204;Back Rene;HC Davos;Verteidiger;49;2;8;3;5;0;0;6;2;2;0;0
205;Haas Gaëtan;EHC Biel;Stürmer;49;2;7;7;0;1;2;7;0;0;0;0
206;Stoop Lukas;Kloten Flyers;Verteidiger;28;2;7;4;3;0;2;5;0;1;0;1
207;Christen Björn;EV Zug;Stürmer;27;2;7;4;3;0;1;6;1;1;0;0
208;Lindemann Sven;EV Zug;Stürmer;49;2;7;3;4;0;0;5;1;2;1;0
209;Conne Flavien;HC Lugano;Stürmer;48;2;6;5;1;0;1;5;1;0;0;1
210;Joggi Mathias;HC Davos;Stürmer;44;2;6;4;2;0;1;6;1;0;0;0
211;Lemm Romano;Kloten Flyers;Stürmer;24;2;6;3;3;0;2;5;0;1;0;0
212;Ulmer Stefan;HC Lugano;Verteidiger;48;2;6;1;5;0;1;5;1;1;0;0
213;Grieder Marc;EHC Biel;Verteidiger;35;2;5;1;4;0;1;5;1;0;0;0
214;Del Zotto Michael;SC Rapperswil-Jona Lakers;Verteidiger;9;2;5;1;4;0;0;3;2;2;0;0
215;Kreps Kamil;Kloten Flyers;Stürmer;22;2;4;4;0;0;2;4;0;0;0;0
216;El Assaoui Sami;SCL Tigers;Verteidiger;14;2;3;3;0;0;2;1;0;2;0;0
217;Gerber Roland;Genève-Servette HC;Stürmer;47;2;3;2;1;0;2;2;0;1;0;0
218;Baltisberger Chris;ZSC Lions;Stürmer;49;2;3;2;1;0;2;3;0;0;0;0
219;Randegger Flurin;SC Bern;Verteidiger;34;2;3;1;2;1;1;2;1;1;0;0
220;Nüssli Thomas;SCL Tigers;Stürmer;17;2;3;1;2;0;1;2;1;1;0;0
221;Duchene Matt;HC Ambri-Piotta;-;4;2;3;1;2;0;2;2;0;1;0;0
222;Steiner Nicholas;Kloten Flyers;Verteidiger;49;2;3;0;3;0;2;3;0;0;0;0
223;Morant Johan;HC Lugano;Verteidiger;23;2;3;0;3;0;2;3;0;0;0;0
224;Guerra Samuel;HC Davos;Verteidiger;42;2;3;0;3;1;2;3;0;0;0;0
225;Ulmer Martin;EHC Biel;Stürmer;10;2;2;2;0;0;2;2;0;0;0;0
226;Sykora Petr;SC Bern;-;5;2;2;2;0;0;1;2;1;0;0;0
227;Schnyder Daniel;ZSC Lions;Verteidiger;49;2;2;2;0;0;1;2;0;0;1;0
228;Bomersback Mark;SCL Tigers;Stürmer;12;2;2;2;0;1;0;1;2;1;0;0
229;Herzog Fabrice;EV Zug;Stürmer;20;2;2;1;1;0;2;2;0;0;0;0
230;Berger Alain;SC Bern;Stürmer;20;2;2;1;1;0;2;2;0;0;0;0
231;Pivron Pierrick;HC Lugano;Stürmer;16;2;1;1;0;0;2;1;0;0;0;0
232;Fazzini Luca;HC Lugano;Stürmer;21;2;1;0;1;0;2;1;0;0;0;0
233;Linglet Charles;HC Lugano;Stürmer;5;2;0;0;0;1;1;0;1;0;0;0
234;Füglister Jeffrey;EHC Biel;Stürmer;34;2;0;0;0;0;2;0;0;0;0;0
235;Kutlak Zdenek;HC Ambri-Piotta;Verteidiger;45;1;21;12;9;0;0;14;0;6;1;1
236;Gautschi Marc;Genève-Servette HC;Verteidiger;49;1;12;4;8;0;1;12;0;0;0;0
237;Meier Dominic;EHC Biel;Verteidiger;42;1;11;5;6;1;1;4;0;7;0;0
238;Vukovic Daniel;Genève-Servette HC;Verteidiger;50;1;10;2;8;0;1;8;0;1;0;1
239;Rubin Daniel;SC Bern;Stürmer;48;1;9;5;4;1;1;5;0;4;0;0
240;Birbaum Alain;Fribourg-Gottéron;Verteidiger;50;1;9;5;4;0;1;5;0;4;0;0
241;Lashoff Matt;ZSC Lions;Verteidiger;49;1;9;4;5;0;1;8;0;1;0;0
242;Lakhmatov Vitaly;HC Ambri-Piotta;Stürmer;35;1;9;4;5;0;1;8;0;1;0;0
243;Heins Shawn;Fribourg-Gottéron;Verteidiger;36;1;8;3;5;0;0;4;1;4;0;0
244;Walsky Eric;Genève-Servette HC;Stürmer;17;1;7;4;3;0;1;7;0;0;0;0
245;Lardi Federico;SCL Tigers;Verteidiger;47;1;7;4;3;1;1;4;0;2;0;1
246;Gmür Sandro;SC Rapperswil-Jona Lakers;Verteidiger;50;1;7;4;3;0;1;6;0;0;0;1
247;Blindenbacher Severin;ZSC Lions;Verteidiger;35;1;7;2;5;0;1;3;0;2;0;2
248;Schneuwly Cédric;EV Zug;Stürmer;48;1;6;5;1;0;1;6;0;0;0;0
249;Willsie Brian;Kloten Flyers;Stürmer;6;1;5;4;1;0;1;5;0;0;0;0
250;Gossweiler Manuel;EHC Biel;Verteidiger;47;1;5;1;4;0;1;5;0;0;0;0
251;Savary Paul;Genève-Servette HC;Stürmer;25;1;4;4;0;0;1;4;0;0;0;0
252;Schommer Patrick;HC Davos;Stürmer;15;1;4;3;1;0;1;4;0;0;0;0
253;Popovic Mark;SCL Tigers;Verteidiger;11;1;4;1;3;0;1;1;0;3;0;0
254;Gobbi John;HC Ambri-Piotta;Verteidiger;48;1;4;1;3;0;0;2;1;1;0;1
255;Furrer Andreas;EV Zug;Verteidiger;34;1;4;1;3;0;1;4;0;0;0;0
