R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
46;Ramholt Tim;HC Davos;Verteidiger;7;8;4;0;0;0;0
47;Murray Jordan;HC Lugano;Stürmer;7;8;4;0;0;0;0
48;Meier Dominic;EHC Biel;Verteidiger;7;8;4;0;0;0;0
49;Marha Josef;HC Davos;Stürmer;7;8;4;0;0;0;0
50;Heikkinen Ilkka;HC Lugano;Verteidiger;7;8;4;0;0;0;0
51;Furrer Andreas;EV Zug;Verteidiger;14;8;4;0;0;0;0
52;Fischer Patrick;EV Zug;Verteidiger;14;8;4;0;0;0;0
53;Christen Björn;EV Zug;Stürmer;10;8;4;0;0;0;0
54;Wieser Dino;HC Davos;Stürmer;6;6;3;0;0;0;0
55;Untersander Ramon;EHC Biel;Verteidiger;7;6;3;0;0;0;0
56;Sykora Petr;HC Davos;Stürmer;7;6;3;0;0;0;0
57;Sutter Fabian;EV Zug;Stürmer;12;6;3;0;0;0;0
58;Steiner Daniel;HC Lugano;Stürmer;7;6;3;0;0;0;0
59;Schnyder Fabian;EV Zug;Stürmer;14;6;3;0;0;0;0
60;Schnyder Daniel;ZSC Lions;Verteidiger;12;6;3;0;0;0;0
61;Randegger Gian-Andrea;Genève-Servette HC;Verteidiger;7;6;3;0;0;0;0
62;Nodari Matteo;HC Lugano;Verteidiger;7;6;3;0;0;0;0
63;Morant Johan;HC Lugano;Verteidiger;5;6;3;0;0;0;0
64;Mercier Jonathan;Genève-Servette HC;Verteidiger;7;6;3;0;0;0;0
65;McLean Brett;HC Lugano;Stürmer;7;6;3;0;0;0;0
66;Maurer Marco;ZSC Lions;Verteidiger;12;6;3;0;0;0;0
67;Kinrade Geoff;SC Bern;Verteidiger;19;6;3;0;0;0;0
68;Joggi Mathias;HC Davos;Stürmer;7;6;3;0;0;0;0
69;Jeannin Sandy;Fribourg-Gottéron;Stürmer;17;6;3;0;0;0;0
70;Friedli Samuel;Genève-Servette HC;Stürmer;7;6;3;0;0;0;0
71;Forster Beat;HC Davos;Verteidiger;7;6;3;0;0;0;0
72;Cunti Luca;ZSC Lions;Stürmer;12;6;3;0;0;0;0
73;Bastl Mark;ZSC Lions;Stürmer;12;6;3;0;0;0;0
74;Wozniewski Andy;EV Zug;Verteidiger;10;4;2;0;0;0;0
75;Walker Julian;Genève-Servette HC;Stürmer;7;4;2;0;0;0;0
76;Vukovic Daniel;Genève-Servette HC;Verteidiger;7;4;2;0;0;0;0
77;Von Arx Reto;HC Davos;Stürmer;5;4;2;0;0;0;0
78;Vauclair Julien;HC Lugano;Verteidiger;7;4;2;0;0;0;0
79;Ulmer Martin;EHC Biel;Stürmer;7;4;2;0;0;0;0
80;Steinmann Janick;HC Davos;Stürmer;7;4;2;0;0;0;0
81;Simek Juraj;Genève-Servette HC;Stürmer;7;4;2;0;0;0;0
82;Sciaroni Gregory;HC Davos;Stürmer;7;4;2;0;0;0;0
83;Schäppi Reto;ZSC Lions;Stürmer;12;4;2;0;0;0;0
84;Romy Kevin;Genève-Servette HC;Stürmer;7;4;2;0;0;0;0
85;Pittis Domenico;EV Zug;Stürmer;8;4;2;0;0;0;0
86;Neuenschwander Caryl;SC Bern;Stürmer;20;4;2;0;0;0;0
