Spieler,Pos,Team,Year,GP,G,SOG,S%,SOG/GP,A,PTS,P/GP,PIM Total,+/-,A1,A2,GWG,EQG,EQA,PPG,PPA,SHG,SHA,2' ,5',10',GM,MP,PS,PSG,PSM,PS%,GWG PS,Number of year
Akerman Johan,Defender,HC Lugano,ls/09,36,,,,,,,,,,7.0,11.0,0.0,2.0,10.0,1.0,7.0,0.0,1.0,,,,,,,,,,,1
Akerman Johan,Defender,HC Lugano,ry/09,36,,,,,18.0,21.0,0.58,67.0,3.0,,,,,,,,,,,,,,,,,,,,1
Akerman Johan,Defender,HC Lugano,ts/09,36,3.0,70.0,4.29,1.94,,,,,,,,,,,,,,,,,,,,,,,,,1
Alatalo Santeri,Defender,EV Zug,es/13,49,,,,,,,,,,,,,,,,,,,20.0,0.0,0.0,0.0,0.0,,,,,,1
Alatalo Santeri,Defender,EV Zug,es/14,47,,,,,,,,,,,,,,,,,,,22.0,1.0,0.0,1.0,0.0,,,,,,1
Alatalo Santeri,Defender,EV Zug,es/15,50,,,,,,,,,,,,,,,,,,,9.0,0.0,0.0,0.0,0.0,,,,,,1
Alatalo Santeri,Defender,EV Zug,ls/13,49,,,,,,,,,,5.0,7.0,1.0,2.0,10.0,1.0,1.0,0.0,1.0,,,,,,,,,,,1
Alatalo Santeri,Defender,EV Zug,ls/14,47,,,,,,,,,,4.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
Alatalo Santeri,Defender,EV Zug,ls/15,50,,,,,,,,,,6.0,3.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,,,,,,,,,,,1
Alatalo Santeri,Defender,EV Zug,ry/13,49,,,,,12.0,15.0,0.31,40.0,18.0,,,,,,,,,,,,,,,,,,,,1
Alatalo Santeri,Defender,EV Zug,ry/14,47,,,,,6.0,9.0,0.19,69.0,7.0,,,,,,,,,,,,,,,,,,,,1
Alatalo Santeri,Defender,EV Zug,ry/15,50,,,,,9.0,10.0,0.2,18.0,8.0,,,,,,,,,,,,,,,,,,,,1
Alatalo Santeri,Defender,EV Zug,ts/13,49,3.0,85.0,3.53,1.73,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-,0.0,1
Alatalo Santeri,Defender,EV Zug,ts/14,47,3.0,60.0,5,1.28,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-,0.0,1
Alatalo Santeri,Defender,EV Zug,ts/15,50,1.0,59.0,1.69,1.18,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-,0.0,1
Alatalo Santeri,Defender,HC Davos,es/12,36,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,0.0,0.0,,,,,,1
Alatalo Santeri,Defender,HC Davos,ls/12,36,,,,,,,,,,3.0,4.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,,,,,,,,,,,1
Alatalo Santeri,Defender,HC Davos,ry/12,36,,,,,7.0,7.0,0.19,16.0,5.0,,,,,,,,,,,,,,,,,,,,1
Alatalo Santeri,Defender,HC Davos,ts/12,36,0.0,40.0,0,1.11,,,,,,,,,,,,,,,,,,,,,,,,,1
Albrecht Yannick-Lennart,Forward,SCL Tigers,es/15,49,,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,,,,,,1
