R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
102;Aubin Serge;Fribourg-Gottéron;Stürmer;5;0;2;2;0.40;2;-3
103;Kamber Oliver;HC Lugano;Stürmer;4;0;2;2;0.50;0;1
104;Signoretti André;ZSC Lions;Verteidiger;2;0;2;2;1.00;4;2
105;Leuenberger Marc;Fribourg-Gottéron;Verteidiger;7;0;2;2;0.29;4;-1
106;Ramholt Tim;HC Davos;Verteidiger;6;0;2;2;0.33;4;-5
107;Bodemann Yanick;EV Zug;Stürmer;13;1;0;1;0.08;0;-1
108;Joggi Mathias;HC Davos;Stürmer;6;1;0;1;0.17;12;-4
109;Marha Josef;HC Davos;Stürmer;6;1;0;1;0.17;2;-1
110;Murray Brady;HC Lugano;Stürmer;4;1;0;1;0.25;2;-2
111;Rothen Frederic;Kloten Flyers;Stürmer;9;1;0;1;0.11;4;0
112;Schelling Philippe;ZSC Lions;Verteidiger;5;1;0;1;0.20;2;1
113;Snell Wesley;EV Zug;Verteidiger;8;1;0;1;0.12;78;-4
114;Collenberg Franco;Fribourg-Gottéron;Verteidiger;7;0;1;1;0.14;39;0
