R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
43;Du Bois Felicien;Kloten Flyers;Verteidiger;10;14;7;0;0;0;0
44;Back Rene;HC Davos;Verteidiger;6;14;7;0;0;0;0
45;Von Gunten Patrick;Kloten Flyers;Verteidiger;10;12;6;0;0;0;0
46;Reichert Marc;SC Bern;Stürmer;15;12;6;0;0;0;0
47;Plüss Martin;SC Bern;Stürmer;15;12;1;0;1;0;0
48;Joggi Mathias;HC Davos;Stürmer;6;12;6;0;0;0;0
49;Hoehener Martin;Genève-Servette HC;Verteidiger;20;12;6;0;0;0;0
50;Forster Beat;HC Davos;Verteidiger;6;12;1;0;1;0;0
51;Fischer Patrick;EV Zug;Verteidiger;13;12;6;0;0;0;0
52;Dubé Christian;SC Bern;Stürmer;13;12;6;0;0;0;0
53;Bärtschi Patrik;ZSC Lions;Stürmer;7;12;1;0;1;0;0
54;Alston Jan;ZSC Lions;Stürmer;7;12;6;0;0;0;0
55;Winkler Benjamin;Kloten Flyers;Verteidiger;10;10;5;0;0;0;0
56;Vauclair Julien;HC Lugano;Verteidiger;4;10;0;0;1;0;0
57;Kellenberger Steve;Kloten Flyers;Stürmer;10;10;5;0;0;0;0
58;Helbling Timo;HC Lugano;Verteidiger;4;10;5;0;0;0;0
59;Diaz Raphael;EV Zug;Verteidiger;13;10;5;0;0;0;0
60;Camichel Duri;EV Zug;Stürmer;13;10;5;0;0;0;0
61;Camichel Corsin;EV Zug;Stürmer;13;10;5;0;0;0;0
62;Birbaum Alain;Fribourg-Gottéron;Verteidiger;7;10;5;0;0;0;0
63;Wick Roman;Kloten Flyers;Stürmer;10;8;4;0;0;0;0
64;Suchy Radoslav;ZSC Lions;Verteidiger;7;8;4;0;0;0;0
65;Seger Mathias;ZSC Lions;Verteidiger;7;8;4;0;0;0;0
66;Rüthemann Ivo;SC Bern;Stürmer;15;8;4;0;0;0;0
67;Näser Andy;HC Lugano;Stürmer;4;8;4;0;0;0;0
68;McLean Brett;SC Bern;Stürmer;15;8;4;0;0;0;0
69;Josi Roman;SC Bern;Verteidiger;15;8;4;0;0;0;0
70;Hürlimann Stefan;Genève-Servette HC;Stürmer;20;8;4;0;0;0;0
71;Goren Lee;SC Bern;Stürmer;6;8;4;0;0;0;0
72;Gamache Simon;SC Bern;Stürmer;10;8;4;0;0;0;0
73;Froidevaux Etienne;SC Bern;Stürmer;15;8;4;0;0;0;0
74;Down Blaine;ZSC Lions;Stürmer;7;8;4;0;0;0;0
75;Wirz Valentin;Fribourg-Gottéron;Stürmer;7;6;3;0;0;0;0
76;Vigier Jean-Pierre;SC Bern;Stürmer;14;6;3;0;0;0;0
77;Tallarini Alan;HC Davos;Verteidiger;6;6;3;0;0;0;0
78;Sidler Patrick;Kloten Flyers;Verteidiger;10;6;3;0;0;0;0
79;Setzinger Oliver;HC Davos;Stürmer;5;6;3;0;0;0;0
80;Rivera Christopher;Genève-Servette HC;Stürmer;20;6;3;0;0;0;0
81;Pittis Domenico;ZSC Lions;Stürmer;5;6;3;0;0;0;0
82;Mowers Mark;Fribourg-Gottéron;Stürmer;7;6;3;0;0;0;0
83;McTavish Dale;EV Zug;Stürmer;12;6;3;0;0;0;0
84;Jobin David;SC Bern;Verteidiger;11;6;3;0;0;0;0
85;Hollenstein Denis;Kloten Flyers;Stürmer;10;6;3;0;0;0;0
86;Di Pietro Paul;EV Zug;Stürmer;13;6;3;0;0;0;0
87;Deruns Thomas;Genève-Servette HC;Stürmer;20;6;3;0;0;0;0
88;Christen Björn;EV Zug;Stürmer;13;6;3;0;0;0;0
89;Brunner Damien;EV Zug;Stürmer;13;6;3;0;0;0;0
90;Boumedienne Josef;EV Zug;Verteidiger;3;6;3;0;0;0;0
91;Berger Pascal;SC Bern;Stürmer;15;6;3;0;0;0;0
92;Ziegler Thomas;SC Bern;Stürmer;11;4;2;0;0;0;0
93;Wieser Marc;HC Davos;Stürmer;6;4;2;0;0;0;0
94;Wieser Dino;HC Davos;Stürmer;4;4;2;0;0;0;0
95;Von Arx Jan;HC Davos;Verteidiger;6;4;2;0;0;0;0
96;Taticek Petr;HC Davos;Stürmer;6;4;2;0;0;0;0
97;Stettler Martin;SC Bern;Verteidiger;9;4;2;0;0;0;0
98;Steinmann Janick;EV Zug;Stürmer;13;4;2;0;0;0;0
99;Signoretti André;ZSC Lions;Verteidiger;2;4;2;0;0;0;0
100;Schnyder Fabian;EV Zug;Stürmer;13;4;2;0;0;0;0
101;Scherwey Tristan;SC Bern;Stürmer;14;4;2;0;0;0;0
102;Rothen Frederic;Kloten Flyers;Stürmer;9;4;2;0;0;0;0
103;Ramholt Tim;HC Davos;Verteidiger;6;4;2;0;0;0;0
104;Plüss Benny;Fribourg-Gottéron;Stürmer;5;4;2;0;0;0;0
105;Pivron Pierrick;Genève-Servette HC;Stürmer;20;4;2;0;0;0;0
106;Ouellet Michel;Fribourg-Gottéron;-;5;4;2;0;0;0;0
107;Monnet Thibaut;ZSC Lions;Stürmer;7;4;2;0;0;0;0
108;Liniger Michael;Kloten Flyers;Stürmer;10;4;2;0;0;0;0
109;Leuenberger Marc;Fribourg-Gottéron;Verteidiger;7;4;2;0;0;0;0
110;Lakhmatov Vitaly;Fribourg-Gottéron;Stürmer;7;4;2;0;0;0;0
111;Krutov Alexei;ZSC Lions;Stürmer;7;4;2;0;0;0;0
112;Kress Michael;EV Zug;Verteidiger;10;4;2;0;0;0;0
113;Jeannin Sandy;Fribourg-Gottéron;Stürmer;7;4;2;0;0;0;0
114;Hamilton Jeff;HC Lugano;Stürmer;4;4;2;0;0;0;0
115;Gerber Lukas;Fribourg-Gottéron;Verteidiger;7;4;2;0;0;0;0
116;Chiesa Alessandro;HC Lugano;Verteidiger;4;4;2;0;0;0;0
117;Bykov Andrey;Fribourg-Gottéron;Stürmer;7;4;2;0;0;0;0
118;Bühler Cyrill;ZSC Lions;Stürmer;7;4;2;0;0;0;0
119;Widing Daniel;HC Davos;Stürmer;6;2;1;0;0;0;0
120;Wellinger Thomas;HC Davos;Verteidiger;4;2;1;0;0;0;0
121;Sprunger Julien;Fribourg-Gottéron;Stürmer;7;2;1;0;0;0;0
122;Sciaroni Gregory;HC Davos;Stürmer;6;2;1;0;0;0;0
123;Schulthess Marc;Kloten Flyers;Verteidiger;10;2;1;0;0;0;0
124;Schnyder Daniel;ZSC Lions;Verteidiger;7;2;1;0;0;0;0
125;Schlagenhauf Roman;HC Lugano;Stürmer;4;2;1;0;0;0;0
126;Schelling Philippe;ZSC Lions;Verteidiger;5;2;1;0;0;0;0
127;Ryser Sven;ZSC Lions;Stürmer;4;2;1;0;0;0;0
128;Rizzi Sandro;HC Davos;Verteidiger;6;2;1;0;0;0;0
129;Rintanen Kimmo;Kloten Flyers;Stürmer;10;2;1;0;0;0;0
130;Nummelin Petteri;HC Lugano;Verteidiger;4;2;1;0;0;0;0
131;Nodari Matteo;HC Lugano;Verteidiger;4;2;1;0;0;0;0
132;Ngoy Michael;Fribourg-Gottéron;Verteidiger;7;2;1;0;0;0;0
133;Murray Brady;HC Lugano;Stürmer;4;2;1;0;0;0;0
134;Micheli Claudio;ZSC Lions;Stürmer;5;2;1;0;0;0;0
135;Meier Trevor;SC Bern;Stürmer;15;2;1;0;0;0;0
136;Marha Josef;HC Davos;Stürmer;6;2;1;0;0;0;0
137;Kostovic Dario;ZSC Lions;Stürmer;3;2;1;0;0;0;0
138;Jacquemet Arnaud;Kloten Flyers;Stürmer;10;2;1;0;0;0;0
139;Hasani Adam;Fribourg-Gottéron;Stürmer;2;2;1;0;0;0;0
140;Geering Patrick;ZSC Lions;Verteidiger;7;2;1;0;0;0;0
141;Forrest Justin;Kloten Flyers;Verteidiger;10;2;1;0;0;0;0
142;Conne Flavien;HC Lugano;Stürmer;4;2;1;0;0;0;0
143;Bürgler Dario;HC Davos;Stürmer;6;2;1;0;0;0;0
144;Botter Cédric;Fribourg-Gottéron;Stürmer;5;2;1;0;0;0;0
145;Banham Frank;Genève-Servette HC;Stürmer;2;2;1;0;0;0;0
146;Aubin Serge;Fribourg-Gottéron;Stürmer;5;2;1;0;0;0;0
147;Akerman Johan;HC Lugano;Verteidiger;3;2;1;0;0;0;0
148;Abplanalp Marc;Fribourg-Gottéron;Verteidiger;7;2;1;0;0;0;0
149;Zeiter Michel;Kloten Flyers;Stürmer;4;0;0;0;0;0;0
150;Wichser Adrian;ZSC Lions;Stürmer;7;0;0;0;0;0;0
151;Voisard Gaetan;Fribourg-Gottéron;Verteidiger;3;0;0;0;0;0;0
152;Vauclair Tristan;HC Lugano;Stürmer;4;0;0;0;0;0;0
153;Untersander Ramon;HC Davos;Verteidiger;2;0;0;0;0;0;0
154;Thomas Bill;HC Lugano;Stürmer;2;0;0;0;0;0;0
155;Stoffel Andri;ZSC Lions;Verteidiger;2;0;0;0;0;0;0
156;Schefer Marc;EV Zug;Verteidiger;12;0;0;0;0;0;0
157;Salmonsson Johannes;HC Davos;Stürmer;1;0;0;0;0;0;0
158;Rytz Philippe;SC Bern;Verteidiger;4;0;0;0;0;0;0
159;Romy Kevin;HC Lugano;Stürmer;2;0;0;0;0;0;0
160;Profico Leandro;HC Lugano;Verteidiger;2;0;0;0;0;0;0
161;Müller Yves;Kloten Flyers;Verteidiger;5;0;0;0;0;0;0
162;Lüssy Silvan;HC Davos;Stürmer;3;0;0;0;0;0;0
163;Loichat Michaël;EV Zug;Stürmer;6;0;0;0;0;0;0
164;Loeffel Romain;Fribourg-Gottéron;Verteidiger;6;0;0;0;0;0;0
165;Lemm Romano;HC Lugano;Stürmer;4;0;0;0;0;0;0
166;Leblanc Robin;Fribourg-Gottéron;Stürmer;1;0;0;0;0;0;0
167;Lauper Adrien;Fribourg-Gottéron;Stürmer;7;0;0;0;0;0;0
168;Knoepfli Michael;Fribourg-Gottéron;Stürmer;7;0;0;0;0;0;0
169;Kienzle Lorenz;ZSC Lions;Verteidiger;3;0;0;0;0;0;0
170;Kamber Oliver;HC Lugano;Stürmer;4;0;0;0;0;0;0
171;Jörg Mauro;HC Lugano;Stürmer;4;0;0;0;0;0;0
172;Hirschi Steve;HC Lugano;Verteidiger;4;0;0;0;0;0;0
173;Grauwiler Lukas;ZSC Lions;Stürmer;6;0;0;0;0;0;0
174;Gartmann Dario;HC Davos;Stürmer;1;0;0;0;0;0;0
175;Gardner Ryan;ZSC Lions;Stürmer;7;0;0;0;0;0;0
176;Fischer Jannik;EV Zug;Verteidiger;3;0;0;0;0;0;0
177;Donati Gianni;HC Davos;Stürmer;6;0;0;0;0;0;0
178;Domenichelli Hnat;HC Lugano;Stürmer;4;0;0;0;0;0;0
179;Casutt Corsin;Fribourg-Gottéron;Stürmer;7;0;0;0;0;0;0
180;Carbis Daniel;HC Davos;Stürmer;4;0;0;0;0;0;0
181;Bonnet Julien;Kloten Flyers;Verteidiger;2;0;0;0;0;0;0
182;Bodenmann Simon;Kloten Flyers;Stürmer;10;0;0;0;0;0;0
183;Bodemann Yanick;EV Zug;Stürmer;13;0;0;0;0;0;0
184;Barbero Victor;Genève-Servette HC;Stürmer;3;0;0;0;0;0;0
185;Antonietti Benjamin;Genève-Servette HC;Stürmer;5;0;0;0;0;0;0
