Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Fr;27.01.2012;19:45;Fribourg-Gottéron;HC Davos; 1:4; 0:1|1:1|0:2;;;False;Fribourg BCF Arena;6800
Fr;27.01.2012;19:45;Genève-Servette HC;SCL Tigers; 4:0; 2:0|1:0|1:0;;;False;Les Vernets Genève;7103
Fr;27.01.2012;19:45;SC Rapperswil-Jona Lakers;EHC Biel; 1:3; 0:1|1:1|0:1;;;False;Diners Club Arena;3897
Fr;27.01.2012;19:45;EV Zug;SC Bern; 4:5; 1:3|0:1|3:0|0:1;SO;;False;Bossard Arena Zug;6628
Sa;28.01.2012;19:45;HC Ambri-Piotta;Fribourg-Gottéron; 1:2; 0:0|0:0|1:1|0:1;SO;;False;Ambri Valascia;2745
Sa;28.01.2012;19:45;SC Bern;Kloten Flyers; 5:0; 1:0|3:0|1:0;;;False;PostFinance Arena;15823
Sa;28.01.2012;19:45;EHC Biel;Genève-Servette HC; 1:0; 1:0|0:0|0:0;;;False;Biel;5515
Sa;28.01.2012;19:45;SCL Tigers;EV Zug; 4:3; 1:1|1:2|1:0|1:0;OT;;False;Ilfishalle Langnau;5157
So;29.01.2012;15:45;Kloten Flyers;ZSC Lions; 2:3; 0:0|1:2|1:1;;;False;Kolping Arena Kloten;7265
So;29.01.2012;15:45;HC Lugano;HC Ambri-Piotta; 3:0; 1:0|1:0|1:0;;;False;Resega Lugano;7800
Di;31.01.2012;19:45;HC Davos;SC Rapperswil-Jona Lakers; 5:1; 1:0|4:1|0:0;;;False;Vaillant Arena Davos;4364
Fr;03.02.2012;19:45;HC Ambri-Piotta;ZSC Lions; 0:4; 0:1|0:2|0:1;;;False;Ambri Valascia;1569
Fr;03.02.2012;19:45;EHC Biel;Kloten Flyers; 2:3; 0:1|2:0|0:2;;;False;Eisstadion Biel;4379
Fr;03.02.2012;19:45;Genève-Servette HC;EV Zug; 1:2; 1:0|0:0|0:1|0:1;SO;;False;Les Vernets Genève;7109
Fr;03.02.2012;19:45;SC Rapperswil-Jona Lakers;Fribourg-Gottéron; 1:3; 0:0|0:2|1:1;;;False;Diners Club Arena;3723
Fr;03.02.2012;19:45;HC Lugano;SCL Tigers; 5:4; 1:1|1:1|3:2;;;False;Resega Lugano;2878
Fr;03.02.2012;20:00;HC Davos;SC Bern; 3:2; 0:0|2:2|1:0;;;False;Vaillant Arena Davos;6053
Sa;04.02.2012;19:45;SC Bern;EHC Biel; 4:0; 1:0|2:0|1:0;;;False;PostFinance Arena;15607
Sa;04.02.2012;19:45;Kloten Flyers;HC Lugano; 6:3; 3:2|1:0|2:1;;;False;Kolping Arena Kloten;6222
Sa;04.02.2012;19:45;SCL Tigers;HC Ambri-Piotta; 3:1; 1:1|1:0|1:0;;;False;Ilfishalle Langnau;4941
Sa;04.02.2012;19:45;EV Zug;HC Davos; 3:2; 1:1|2:0|0:1;;;False;Bossard Arena Zug;7015
Sa;04.02.2012;20:15;Fribourg-Gottéron;Genève-Servette HC; 2:3; 1:0|0:2|1:1;;;False;Fribourg BCF Arena;6800
Di;14.02.2012;19:45;ZSC Lions;HC Lugano; 0:4; 0:1|0:1|0:2;;;False;Hallenstadion Zürich;7359
Di;14.02.2012;19:45;Genève-Servette HC;SC Bern; 1:2; 0:1|0:0|1:0|0:1;OT;;False;Les Vernets Genève;7076
Fr;17.02.2012;19:45;Fribourg-Gottéron;EHC Biel; 3:5; 1:2|2:3|0:0;;;False;Fribourg BCF Arena;6800
Fr;17.02.2012;20:15;HC Ambri-Piotta;HC Lugano; 2:4; 0:2|0:1|2:1;;;False;Ambri Valascia;2637
Sa;18.02.2012;19:45;SC Bern;Genève-Servette HC; 2:3; 1:1|1:2|0:0;;;False;PostFinance Arena;15556
Sa;18.02.2012;19:45;EHC Biel;SCL Tigers; 1:5; 0:0|1:4|0:1;;;False;Biel;5136
Sa;18.02.2012;19:45;SC Rapperswil-Jona Lakers;Kloten Flyers; 0:5; 0:2|0:1|0:2;;;False;Diners Club Arena;3843
Sa;18.02.2012;19:45;HC Lugano;Fribourg-Gottéron; 0:3; 0:2|0:1|0:0;;;False;Resega Lugano;3219
Sa;18.02.2012;19:45;EV Zug;ZSC Lions; 1:2; 0:0|0:1|1:0|0:1;SO;;False;Bossard Arena Zug;6310
Sa;18.02.2012;19:48;HC Davos;HC Ambri-Piotta; 6:2; 3:2|0:0|3:0;;;False;Vaillant Arena Davos;5423
So;19.02.2012;15:45;Kloten Flyers;SC Rapperswil-Jona Lakers; 3:2; 0:0|2:1|1:1;;;False;Kolping Arena Kloten;5332
So;19.02.2012;15:45;SCL Tigers;EV Zug; 1:3; 1:1|0:1|0:1;;;False;Ilfishalle Langnau;5085
So;19.02.2012;15:45;ZSC Lions;HC Davos; 3:4; 1:0|2:1|0:2|0:1;OT;;False;Hallenstadion Zürich;9911
Di;21.02.2012;19:45;ZSC Lions;SC Rapperswil-Jona Lakers; 4:1; 1:0|0:1|3:0;;;False;Hallenstadion Zürich;7151
Fr;24.02.2012;19:45;HC Ambri-Piotta;EHC Biel; 1:4; 0:0|1:2|0:2;;;False;Ambri Valascia;1787
Fr;24.02.2012;19:45;HC Davos;SCL Tigers; 1:3; 0:1|1:2|0:0;;;False;Vaillant Arena Davos;5197
Fr;24.02.2012;19:45;Fribourg-Gottéron;ZSC Lions; 2:1; 0:0|1:0|1:1;;;False;Fribourg BCF Arena;6800
Fr;24.02.2012;19:45;Genève-Servette HC;Kloten Flyers; 4:6; 1:0|2:2|1:4;;;False;Les Vernets Genève;7135
Fr;24.02.2012;19:45;SC Rapperswil-Jona Lakers;EV Zug; 2:9; 1:3|1:3|0:3;;;False;Diners Club Arena;4367
Fr;24.02.2012;19:45;HC Lugano;SC Bern; 2:3; 1:1|0:0|1:1|0:1;SO;;False;Resega Lugano;3056
Sa;25.02.2012;19:45;SC Bern;HC Ambri-Piotta; 1:4; 0:0|0:3|1:1;;;False;PostFinance Arena;15789
Sa;25.02.2012;19:45;EHC Biel;HC Davos; 1:4; 1:1|0:1|0:2;;;False;Eisstadion Biel;6027
Sa;25.02.2012;19:45;Kloten Flyers;Fribourg-Gottéron; 3:2; 2:1|0:1|0:0|1:0;SO;;False;Kolping Arena Kloten;6514
Sa;25.02.2012;19:45;SCL Tigers;SC Rapperswil-Jona Lakers; 1:3; 1:1|0:1|0:1;;;False;Ilfishalle Langnau;4912
Sa;25.02.2012;19:45;ZSC Lions;Genève-Servette HC; 3:0; 1:0|0:0|2:0;;;False;Hallenstadion Zürich;7342
Sa;25.02.2012;19:45;EV Zug;HC Lugano; 0:1; 0:0|0:0|0:1;;;False;Bossard Arena Zug;6627
