R;Spieler;Team;Pos;GP;PS;PSG;PSM;PS%;GWG PS
174;Bezina Goran;Genève-Servette HC;Verteidiger;12;0;0;0;-;0
175;Berthon Eliot;Genève-Servette HC;Stürmer;12;0;0;0;-;0
176;Bastl Mark;ZSC Lions;Stürmer;18;0;0;0;-;0
177;Baltisberger Chris;ZSC Lions;Stürmer;17;0;0;0;-;0
178;Back Rene;HC Davos;Verteidiger;6;0;0;0;-;0
179;Augsburger Gaëtan;Lausanne HC;Stürmer;4;0;0;0;-;0
180;Antonietti Eliot;Genève-Servette HC;Verteidiger;12;0;0;0;-;0
181;Antonietti Benjamin;Lausanne HC;Stürmer;7;0;0;0;-;0
182;Ambühl Andres;HC Davos;Stürmer;4;0;0;0;-;0
183;Aeschlimann Marc;HC Davos;Stürmer;2;0;0;0;-;0
184;Abplanalp Marc;Fribourg-Gottéron;Verteidiger;5;0;0;0;-;0
