Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Do;21.11.2013;19:45;EV Zug;HC Lugano; 2:4; 1:1|1:1|0:2;;;False;BOSSARD Arena, Zug;5937
Fr;22.11.2013;19:45;SC Bern;EHC Biel; 1:4; 0:1|0:1|1:2;;;False;PostFinance-Arena, Bern;15862
Fr;22.11.2013;19:45;Genève-Servette HC;Fribourg-Gottéron; 5:3; 0:1|0:2|5:0;;;False;Les Vernets, Genève;7135
Fr;22.11.2013;19:45;SC Rapperswil-Jona Lakers;ZSC Lions; 1:5; 0:0|0:3|1:2;;;False;Diners Club Arena, Rapperswil;4431
Fr;22.11.2013;19:45;Lausanne HC;EV Zug; 1:2; 0:1|1:0|0:1;;;False;P. de Malley, Lausanne;5515
Sa;23.11.2013;18:00;HC Ambri-Piotta;Lausanne HC; 4:1; 2:0|0:1|2:0;;;False;Stadio Valascia, Ambri;5567
Sa;23.11.2013;19:45;EHC Biel;Genève-Servette HC; 4:2; 0:1|2:0|2:1;;;False;Eisstadion, Biel-Bienne;4641
Sa;23.11.2013;19:45;Fribourg-Gottéron;SC Bern; 2:1; 1:0|1:1|0:0;;;False;BCF Arena, Fribourg;6700
Sa;23.11.2013;19:45;Kloten Flyers;SC Rapperswil-Jona Lakers; 1:2; 1:0|0:2|0:0;;;False;Kolping Arena, Kloten;4826
Sa;23.11.2013;19:45;ZSC Lions;HC Davos; 2:1; 0:1|1:0|1:0;;;False;Hallenstadion AG, Zürich;10530
So;24.11.2013;14:00;HC Lugano;HC Ambri-Piotta; 7:1; 3:0|3:0|1:1;;;False;Pista Resega, Porza;7800
So;24.11.2013;15:45;HC Davos;Kloten Flyers; 3:4; 2:1|1:1|0:1|0:1;OT;;False;Vaillant Arena, Davos;5093
Di;26.11.2013;19:45;Kloten Flyers;SC Bern; 0:2; 0:0|0:1|0:1;;;False;Kolping Arena, Kloten;4903
Di;26.11.2013;19:45;SC Rapperswil-Jona Lakers;HC Davos; 4:2; 0:1|1:1|3:0;;;False;Diners Club Arena, Rapperswil;4497
Di;26.11.2013;19:45;HC Lugano;EHC Biel; 4:1; 1:0|2:1|1:0;;;False;Pista Resega, Porza;4056
Di;26.11.2013;19:45;EV Zug;HC Ambri-Piotta; 5:2; 3:0|1:2|1:0;;;False;BOSSARD Arena, Zug;6461
Di;26.11.2013;19:45;Genève-Servette HC;Fribourg-Gottéron; 4:1; 0:1|1:0|3:0;;;False;Les Vernets, Genève;7075
Do;28.11.2013;19:45;EHC Biel;SC Bern; 1:3; 0:1|1:1|0:1;;;False;Eisstadion, Biel-Bienne;5013
Do;28.11.2013;19:45;EV Zug;HC Davos; 3:2; 0:1|2:1|1:0;;;False;BOSSARD Arena, Zug;6607
Fr;29.11.2013;19:45;HC Ambri-Piotta;Genève-Servette HC; 3:1; 0:0|2:0|1:1;;;False;Stadio Valascia, Ambri;4705
Fr;29.11.2013;19:45;SC Bern;EV Zug; 3:1; 0:0|0:0|3:1;;;False;PostFinance-Arena, Bern;15610
Fr;29.11.2013;19:45;Fribourg-Gottéron;SC Rapperswil-Jona Lakers; 6:4; 1:0|3:2|2:2;;;False;BCF Arena, Fribourg;6550
Fr;29.11.2013;19:45;HC Lugano;ZSC Lions; 0:2; 0:1|0:1|0:0;;;False;Pista Resega, Porza;4656
Fr;29.11.2013;19:45;Lausanne HC;Kloten Flyers; 2:1; 1:0|0:1|1:0;;;False;P. de Malley, Lausanne;6104
Sa;30.11.2013;19:45;Kloten Flyers;HC Ambri-Piotta; 2:4; 1:1|1:2|0:1;;;False;Kolping Arena, Kloten;5513
Sa;30.11.2013;19:45;SC Rapperswil-Jona Lakers;HC Lugano; 3:6; 0:1|2:5|1:0;;;False;Diners Club Arena, Rapperswil;4417
So;01.12.2013;15:45;HC Davos;EHC Biel; 3:2; 0:1|2:0|0:1|1:0;SO;;False;Vaillant Arena, Davos;4135
Di;03.12.2013;19:45;SC Bern;HC Davos; 4:3; 2:1|2:2|0:0;;;False;PostFinance-Arena, Bern;16052
Di;03.12.2013;19:45;EHC Biel;SC Rapperswil-Jona Lakers; 3:1; 0:0|1:1|2:0;;;False;Eisstadion, Biel-Bienne;3970
Di;03.12.2013;19:45;Fribourg-Gottéron;HC Lugano; 2:4; 1:1|1:2|0:1;;;False;BCF Arena, Fribourg;6412
Di;03.12.2013;19:45;Genève-Servette HC;ZSC Lions; 4:5; 0:1|4:2|0:2;;;False;Les Vernets, Genève;6735
Di;03.12.2013;19:45;Kloten Flyers;EV Zug; 3:1; 1:1|2:0|0:0;;;False;Kolping Arena, Kloten;4620
Di;03.12.2013;19:45;Lausanne HC;HC Ambri-Piotta; 2:1; 0:0|1:1|1:0;;;False;P. de Malley, Lausanne;6043
Do;05.12.2013;19:45;ZSC Lions;Genève-Servette HC; 5:4; 1:1|4:1|0:2;;;False;Hallenstadion AG, Zürich;8360
Fr;06.12.2013;19:45;Fribourg-Gottéron;EHC Biel; 2:5; 0:2|0:1|2:2;;;False;BCF Arena, Fribourg;6700
Fr;06.12.2013;19:45;SC Rapperswil-Jona Lakers;EV Zug; 1:5; 1:3|0:1|0:1;;;False;Diners Club Arena, Rapperswil;3969
Fr;06.12.2013;19:45;Lausanne HC;SC Bern; 2:4; 1:2|0:1|1:1;;;False;P. de Malley, Lausanne;6850
Sa;07.12.2013;19:45;HC Ambri-Piotta;Fribourg-Gottéron; 0:2; 0:0|0:2|0:0;;;False;Stadio Valascia, Ambri;5510
Sa;07.12.2013;19:45;SC Bern;HC Lugano; 4:3; 1:1|1:0|1:2|1:0;OT;;False;PostFinance-Arena, Bern;16501
Sa;07.12.2013;19:45;EHC Biel;ZSC Lions; 3:5; 3:2|0:1|0:2;;;False;Eisstadion, Biel-Bienne;4752
Sa;07.12.2013;19:45;Kloten Flyers;SC Rapperswil-Jona Lakers; 6:1; 3:1|3:0|0:0;;;False;Kolping Arena, Kloten;4699
Sa;07.12.2013;19:45;EV Zug;Lausanne HC; 1:4; 0:2|0:2|1:0;;;False;BOSSARD Arena, Zug;5995
So;08.12.2013;15:45;HC Davos;HC Ambri-Piotta; 4:6; 0:2|3:1|1:3;;;False;Vaillant Arena, Davos;6028
So;08.12.2013;15:45;HC Lugano;Genève-Servette HC; 2:1; 1:1|0:0|0:0|1:0;OT;;False;Pista Resega, Porza;5439
So;08.12.2013;15:45;ZSC Lions;Kloten Flyers; 3:1; 1:0|2:0|0:1;;;False;Hallenstadion AG, Zürich;11026
Di;10.12.2013;19:45;EHC Biel;Kloten Flyers; 2:3; 2:1|0:1|0:0|0:1;OT;;False;Eisstadion, Biel-Bienne;3977
Di;10.12.2013;19:45;HC Davos;Fribourg-Gottéron; 3:0; 2:0|1:0|0:0;;;False;Vaillant Arena, Davos;3719
Di;10.12.2013;19:45;SC Rapperswil-Jona Lakers;SC Bern; 0:3; 0:1|0:0|0:2;;;False;Diners Club Arena, Rapperswil;3818
Di;10.12.2013;19:45;Lausanne HC;HC Lugano; 6:2; 4:0|0:2|2:0;;;False;P. de Malley, Lausanne;5840
Di;10.12.2013;19:45;ZSC Lions;HC Ambri-Piotta; 4:2; 1:1|2:0|1:1;;;False;Hallenstadion AG, Zürich;8622
Di;10.12.2013;19:45;EV Zug;Genève-Servette HC; 3:7; 3:5|0:0|0:2;;;False;BOSSARD Arena, Zug;5406
Do;12.12.2013;19:45;Genève-Servette HC;EHC Biel; 4:0; 2:0|0:0|2:0;;;False;Les Vernets, Genève;6604
Do;12.12.2013;19:45;ZSC Lions;SC Rapperswil-Jona Lakers; 3:2; 1:1|1:1|1:0;;;False;Hallenstadion AG, Zürich;8079
Fr;13.12.2013;19:45;Fribourg-Gottéron;EV Zug; 4:3; 1:0|2:1|0:2|1:0;SO;;False;BCF Arena, Fribourg;6700
Fr;13.12.2013;19:45;HC Lugano;Kloten Flyers; 2:0; 0:0|2:0|0:0;;;False;Pista Resega, Porza;4424
