R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
148;Sutter Sebastian;Kloten Flyers;Stürmer;4;0;2;0;0.50
149;Schild Roman;SCL Tigers;Stürmer;3;0;2;0;0.67
150;Scherwey Tristan;SC Bern;Stürmer;9;0;2;0;0.22
151;Rytz Philippe;Fribourg-Gottéron;Verteidiger;3;0;2;0;0.67
152;Moggi Claudio;SCL Tigers;Stürmer;4;0;2;0;0.50
153;Lüssy Silvan;Fribourg-Gottéron;Stürmer;4;0;2;0;0.50
154;Lindemann Kim;SCL Tigers;Verteidiger;4;0;2;0;0.50
155;Lemm Aurelio;SCL Tigers;Stürmer;1;0;2;0;2.00
156;Lardi Federico;SCL Tigers;Verteidiger;4;0;2;0;0.50
157;Kelly Brent;SCL Tigers;Stürmer;1;0;2;0;2.00
158;Keller Samuel;Kloten Flyers;Stürmer;10;1;2;50;0.20
159;Campbell Jeff;Kloten Flyers;Stürmer;1;0;2;0;2.00
160;Camenzind Andreas;SCL Tigers;Verteidiger;4;0;2;0;0.50
161;Botter Cédric;Fribourg-Gottéron;Stürmer;4;0;2;0;0.50
162;Steiner Nicholas;Kloten Flyers;Verteidiger;11;0;1;0;0.09
163;Schommer Patrick;ZSC Lions;Stürmer;2;0;1;0;0.50
164;Schnyder Daniel;ZSC Lions;Verteidiger;5;0;1;0;0.20
165;Schäppi Reto;ZSC Lions;Stürmer;5;0;1;0;0.20
166;Moggi Sandro;SCL Tigers;Stürmer;4;0;1;0;0.25
167;Leblanc Robin;Fribourg-Gottéron;Stürmer;1;1;1;100;1.00
168;Helfenstein Sven;SCL Tigers;Stürmer;1;0;1;0;1.00
169;Guerra Samuel;HC Davos;Verteidiger;2;0;1;0;0.50
170;Collenberg Franco;Fribourg-Gottéron;Verteidiger;4;0;1;0;0.25
171;Barbero Victor;Genève-Servette HC;Stürmer;6;0;1;0;0.17
172;Abplanalp Marc;Fribourg-Gottéron;Verteidiger;4;0;1;0;0.25
