R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
63;Ngoy Michael;Fribourg-Gottéron;Verteidiger;11;1;2;3;0.27;2;0
64;Santala Tommi;Kloten Flyers;Stürmer;5;1;2;3;0.60;4;0
65;Kolnik Juraj;ZSC Lions;Stürmer;9;1;2;3;0.33;4;3
66;Neuenschwander Caryl;SC Bern;Stürmer;17;1;2;3;0.18;6;1
67;Oppliger Patrick;EV Zug;Stürmer;9;1;2;3;0.33;12;-2
68;Romy Kevin;HC Lugano;Stürmer;6;1;2;3;0.50;0;-3
69;Steiner Daniel;HC Lugano;Stürmer;6;1;2;3;0.50;0;-1
70;Bordeleau Sébastien;EHC Biel;Stürmer;5;0;3;3;0.60;2;-5
71;Chabada Martin;EHC Biel;Stürmer;3;0;3;3;1.00;0;0
72;Heins Shawn;Fribourg-Gottéron;Verteidiger;11;0;3;3;0.27;8;-6
73;Kinrade Geoff;SC Bern;Verteidiger;17;0;3;3;0.18;8;10
74;McLean Brett;HC Lugano;Stürmer;6;0;3;3;0.50;4;1
75;Schnyder Daniel;ZSC Lions;Verteidiger;15;0;3;3;0.20;2;5
76;Profico Leandro;HC Lugano;Verteidiger;6;2;0;2;0.33;12;2
77;Wetzel Philipp;EHC Biel;Stürmer;5;2;0;2;0.40;6;-2
78;Bednar Jaroslav;HC Lugano;Stürmer;6;1;1;2;0.33;4;-4
79;Bertschy Christoph;SC Bern;Stürmer;17;1;1;2;0.12;8;-3
80;Fischer Patrick;EV Zug;Verteidiger;5;1;1;2;0.40;0;-3
81;Fröhlicher Joel;EHC Biel;Verteidiger;5;1;1;2;0.40;12;-3
82;Schnyder Fabian;EV Zug;Stürmer;9;1;1;2;0.22;0;0
83;Vauclair Julien;HC Lugano;Verteidiger;6;1;1;2;0.33;6;1
84;Du Bois Felicien;Kloten Flyers;Verteidiger;5;1;1;2;0.40;2;-1
85;Nordgren Niklas;Kloten Flyers;Stürmer;3;1;1;2;0.67;8;1
86;Preissing Tom;EHC Biel;Verteidiger;2;1;1;2;1.00;0;-4
87;Wick Roman;Kloten Flyers;Stürmer;5;1;1;2;0.40;4;0
88;Baltisberger Chris;ZSC Lions;Stürmer;15;0;2;2;0.13;2;3
89;Camichel Corsin;HC Davos;Stürmer;4;0;2;2;0.50;4;-1
90;Collenberg Franco;Fribourg-Gottéron;Verteidiger;11;0;2;2;0.18;4;1
91;Helbling Timo;EV Zug;Verteidiger;9;0;2;2;0.22;16;0
92;Jörg Mauro;HC Lugano;Stürmer;6;0;2;2;0.33;0;1
93;Wieser Marc;EHC Biel;Stürmer;3;0;2;2;0.67;16;0
94;Truttmann Marco;EHC Biel;Stürmer;5;0;2;2;0.40;16;-2
95;Afanasenkov Dmitry;Fribourg-Gottéron;Stürmer;3;1;0;1;0.33;0;-1
96;Back Rene;HC Davos;Verteidiger;4;1;0;1;0.25;0;-2
97;Casutt Corsin;EV Zug;Stürmer;6;1;0;1;0.17;4;-2
98;Dupont Micki;Kloten Flyers;Verteidiger;5;1;0;1;0.20;0;-1
99;Rintanen Kimmo;HC Lugano;Stürmer;1;1;0;1;1.00;0;-1
100;Sieber Lukas;HC Davos;Stürmer;4;1;0;1;0.25;2;-1
101;Untersander Ramon;HC Davos;Verteidiger;4;1;0;1;0.25;0;0
102;Von Arx Reto;HC Davos;Stürmer;2;1;0;1;0.50;2;0
103;Blaser Yannick;EV Zug;Verteidiger;9;0;1;1;0.11;16;2
104;Gloor Kevin;EHC Biel;Verteidiger;5;0;1;1;0.20;0;-1
105;Haas Gaëtan;EHC Biel;Stürmer;5;0;1;1;0.20;2;-5
106;Hoehener Martin;SC Bern;Verteidiger;17;0;1;1;0.06;2;3
107;Lüssy Silvan;Fribourg-Gottéron;Stürmer;4;0;1;1;0.25;2;-1
108;Nummelin Petteri;HC Lugano;Verteidiger;6;0;1;1;0.17;2;0
109;Nylander Michael;Kloten Flyers;Stürmer;2;0;1;1;0.50;2;-1
110;Sannitz Raffaele;HC Lugano;Stürmer;6;0;1;1;0.17;0;-3
111;Steinegger Martin;EHC Biel;Verteidiger;5;0;1;1;0.20;4;-4
112;Stoffel Andri;ZSC Lions;Verteidiger;15;0;1;1;0.07;12;4
113;Taticek Petr;HC Davos;Stürmer;4;0;1;1;0.25;0;-3
114;Tschantré Mathieu;EHC Biel;Stürmer;5;0;1;1;0.20;2;-2
115;Von Arx Jan;HC Davos;Verteidiger;4;0;1;1;0.25;2;0
116;Wieser Dino;HC Davos;Stürmer;4;0;1;1;0.25;6;-2
117;Brügger Sandro;Fribourg-Gottéron;Stürmer;9;0;1;1;0.11;0;-2
118;Cadieux Jan;Fribourg-Gottéron;Stürmer;11;0;1;1;0.09;4;-4
119;Conne Flavien;HC Lugano;Stürmer;6;0;1;1;0.17;4;0
120;Lüthi Fabian;EV Zug;Stürmer;9;0;1;1;0.11;6;-1
121;Peter Emanuel;EHC Biel;Stürmer;5;0;1;1;0.20;4;1
122;Roche Travis;SC Bern;Verteidiger;3;0;1;1;0.33;4;2
123;Schlumpf Dominik;HC Lugano;Verteidiger;6;0;1;1;0.17;2;-2
124;Abplanalp Marc;Fribourg-Gottéron;Verteidiger;9;0;0;0;0.00;0;-2
125;Altorfer Niki;EHC Biel;Stürmer;2;0;0;0;0.00;2;0
126;Baltisberger Phil;ZSC Lions;Verteidiger;1;0;0;0;0.00;0;0
127;Barinka Michal;Fribourg-Gottéron;Verteidiger;9;0;0;0;0.00;8;-1
128;Bieber Matthias;Kloten Flyers;Stürmer;5;0;0;0;0.00;0;-3
129;Blatter Florian;HC Lugano;Verteidiger;6;0;0;0;0.00;2;-3
130;Blum Eric-Ray;Kloten Flyers;Verteidiger;5;0;0;0;0.00;0;0
131;Bodenmann Simon;Kloten Flyers;Stürmer;5;0;0;0;0.00;2;-2
132;Botter Cédric;Fribourg-Gottéron;Stürmer;4;0;0;0;0.00;2;-3
133;Brunner Adrian;SC Bern;Stürmer;3;0;0;0;0.00;0;0
134;Bürgler Dario;HC Davos;Stürmer;4;0;0;0;0.00;4;-3
135;Camichel Duri;EV Zug;Stürmer;2;0;0;0;0.00;0;0
136;Chiesa Alessandro;EV Zug;Verteidiger;9;0;0;0;0.00;18;0
137;Erni Samuel;EV Zug;Verteidiger;7;0;0;0;0.00;4;-5
138;Fey Kevin;EHC Biel;Verteidiger;4;0;0;0;0.00;0;0
139;Forster Beat;HC Davos;Verteidiger;4;0;0;0;0.00;2;-3
140;Furrer Andreas;EV Zug;Verteidiger;9;0;0;0;0.00;2;-1
141;Geering Patrick;ZSC Lions;Verteidiger;15;0;0;0;0.00;8;2
142;Gerber Lukas;Fribourg-Gottéron;Verteidiger;11;0;0;0;0.00;8;-3
143;Gobbi John;ZSC Lions;Verteidiger;15;0;0;0;0.00;0;1
144;Gossweiler Manuel;EHC Biel;Verteidiger;5;0;0;0;0.00;2;-4
145;Grieder Marc;EHC Biel;Verteidiger;5;0;0;0;0.00;4;-1
146;Grossmann Robin;HC Davos;Verteidiger;4;0;0;0;0.00;2;-3
147;Guerra Samuel;HC Davos;Verteidiger;4;0;0;0;0.00;2;-2
148;Hendry Jordan;HC Lugano;Verteidiger;5;0;0;0;0.00;2;-2
149;Herren Yannick;Kloten Flyers;Stürmer;5;0;0;0;0.00;0;-2
150;Hirschi Steve;HC Lugano;Verteidiger;2;0;0;0;0.00;0;1
151;Holinger Fadri;HC Davos;Stürmer;1;0;0;0;0.00;0;-1
152;Huguenin Anthony;EHC Biel;Verteidiger;5;0;0;0;0.00;0;-2
153;Jacquemet Arnaud;Kloten Flyers;Stürmer;5;0;0;0;0.00;0;-1
154;Jinman Lee;HC Davos;Stürmer;1;0;0;0;0.00;0;0
155;Kellenberger Steve;Kloten Flyers;Stürmer;1;0;0;0;0.00;0;0
156;Kienzle Lorenz;HC Lugano;Verteidiger;5;0;0;0;0.00;2;-1
157;Kparghai Clarence;EHC Biel;Verteidiger;3;0;0;0;0.00;6;-2
158;Kuonen Raphael;HC Davos;Stürmer;2;0;0;0;0.00;0;-1
159;Lammer Dominic;EV Zug;Stürmer;7;0;0;0;0.00;2;1
160;Lauper Adrien;EHC Biel;Stürmer;1;0;0;0;0.00;0;-1
161;Marha Josef;HC Davos;Stürmer;3;0;0;0;0.00;0;-2
162;Marti Christian;Kloten Flyers;Verteidiger;5;0;0;0;0.00;2;-1
163;Mayolani Fabrizio;HC Davos;Stürmer;1;0;0;0;0.00;0;0
164;Mondou Benoit;Fribourg-Gottéron;Stürmer;2;0;0;0;0.00;0;-2
165;Morant Johan;SC Bern;Verteidiger;3;0;0;0;0.00;25;-1
166;Nodari Matteo;HC Lugano;Verteidiger;4;0;0;0;0.00;0;-1
167;Pirnes Esa;EV Zug;Stürmer;3;0;0;0;0.00;25;1
168;Ramholt Tim;HC Davos;Verteidiger;4;0;0;0;0.00;4;-1
169;Rizzi Sandro;HC Davos;Verteidiger;4;0;0;0;0.00;0;-3
170;Rossi Matthias;EV Zug;Stürmer;9;0;0;0;0.00;2;0
171;Rouiller Anthony;EHC Biel;Verteidiger;2;0;0;0;0.00;0;0
172;Schelling Philippe;Kloten Flyers;Verteidiger;5;0;0;0;0.00;2;-3
173;Schneuwly Cédric;EV Zug;Stürmer;4;0;0;0;0.00;0;0
174;Schommer Patrick;ZSC Lions;Stürmer;9;0;0;0;0.00;0;-1
175;Sciaroni Gregory;HC Davos;Stürmer;2;0;0;0;0.00;0;-1
176;Sejna Peter;HC Davos;Stürmer;4;0;0;0;0.00;0;-1
177;Simion Dario;HC Lugano;Stürmer;1;0;0;0;0.00;2;0
178;Steinmann Janick;HC Davos;Stürmer;4;0;0;0;0.00;0;-1
179;Stoop Lukas;HC Davos;Verteidiger;4;0;0;0;0.00;0;-2
180;Sutter Sebastian;Kloten Flyers;Stürmer;4;0;0;0;0.00;0;0
181;Sykora Petr;HC Davos;Stürmer;4;0;0;0;0.00;2;-2
182;Vigier Jean-Pierre;SC Bern;Stürmer;3;0;0;0;0.00;4;2
183;Walser Samuel;Kloten Flyers;Stürmer;5;0;0;0;0.00;10;0
184;Westcott Duvie;Kloten Flyers;Verteidiger;5;0;0;0;0.00;8;2
185;Winkler Benjamin;Kloten Flyers;Verteidiger;5;0;0;0;0.00;2;2
186;Ziegler Thomas;ZSC Lions;Stürmer;6;0;0;0;0.00;0;0
187;Zigerli Manuel;EHC Biel;Stürmer;5;0;0;0;0.00;0;-2
188;Zubler Patrick;EV Zug;Verteidiger;5;0;0;0;0.00;0;0
