R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
166;Ness Martin;SC Bern;Stürmer;2;0;0;0;0.00;0;-1
167;Neuenschwander Caryl;Fribourg-Gottéron;Stürmer;5;0;0;0;0.00;0;0
168;Neuenschwander Jan;ZSC Lions;Stürmer;3;0;0;0;0.00;0;-1
169;Neukom Benjamin;Fribourg-Gottéron;Stürmer;5;0;0;0;0.00;2;0
170;Obrist Patrick;Kloten Flyers;Stürmer;4;0;0;0;0.00;2;-1
171;Olimb Mathis;Kloten Flyers;Stürmer;2;0;0;0;0.00;0;-3
172;Paschoud Claude-C.;HC Davos;Verteidiger;9;0;0;0;0.00;4;4
173;Peter Emanuel;EV Zug;Stürmer;4;0;0;0;0.00;2;1
174;Plüss Benny;Fribourg-Gottéron;Stürmer;5;0;0;0;0.00;0;-5
175;Primeau Josh;EV Zug;Stürmer;4;0;0;0;0.00;0;0
176;Rampazzo Ruben;HC Davos;Verteidiger;5;0;0;0;0.00;0;-2
177;Rapuzzi William;EV Zug;Stürmer;2;0;0;0;0.00;0;-1
178;Reichert Marc;SC Bern;Stürmer;14;0;0;0;0.00;0;-2
179;Rivera Christopher;Fribourg-Gottéron;Stürmer;5;0;0;0;0.00;14;-1
180;Romanenghi Matteo;HC Lugano;Stürmer;1;0;0;0;0.00;0;0
181;Sartori Riccardo;HC Lugano;Verteidiger;10;0;0;0;0.00;0;0
182;Schäppi Reto;ZSC Lions;Stürmer;4;0;0;0;0.00;0;-1
183;Schlagenhauf Roman;HC Lugano;Stürmer;4;0;0;0;0.00;0;0
184;Schmutz Flavio;Fribourg-Gottéron;Stürmer;2;0;0;0;0.00;0;0
185;Schnyder Fabian;EV Zug;Stürmer;4;0;0;0;0.00;0;-3
186;Seger Mathias;ZSC Lions;Verteidiger;4;0;0;0;0.00;4;0
187;Senteler Sven;EV Zug;Stürmer;4;0;0;0;0.00;0;-1
188;Sieber Lukas;EV Zug;Stürmer;2;0;0;0;0.00;0;0
189;Siegenthaler Jonas;ZSC Lions;Verteidiger;4;0;0;0;0.00;2;-1
190;Smith Trevor;SC Bern;Stürmer;1;0;0;0;0.00;0;-1
191;Sondell Daniel;EV Zug;Verteidiger;2;0;0;0;0.00;0;0
192;Vauclair Tristan;Fribourg-Gottéron;Stürmer;2;0;0;0;0.00;0;0
193;Von Gunten Patrick;Kloten Flyers;Verteidiger;4;0;0;0;0.00;6;-3
194;Wick Roman;ZSC Lions;Stürmer;4;0;0;0;0.00;4;-1
195;Wollgast Nigel;HC Lugano;Verteidiger;1;0;0;0;0.00;0;0
196;Zanatta Luca;Genève-Servette HC;Verteidiger;1;0;0;0;0.00;0;0
