Series_ID,Winner,Year,Opponent 1,Homefield_advantage,Opponent 0,GF,PK SI,PK SI/GP,PK GA,PK GA/GP,PK%,PKT,PK time/GP,SHG,PK GF/GP,GF/GP,GA,GA/GP,GF even,GF even/GP,GA even,GA even/GP,PPG,PPG/GP,PP GA,PP GA/GP,SOWGF,SOWGA,2' ,5',10',GM,MP,PIM Total,PP OP,PP OP/GP,PP%,PPT,PP time/GP,Number of year
1112_Fribourg-Gottéron HC Lugano,0,1112,HC Lugano,1,Fribourg-Gottéron,4.0,4.0,0.07999999999999963,-4.0,-0.07999999999999996,2.5,1361.0,27.0,-6.0,-0.12,0.08000000000000007,-30.0,-0.6000000000000001,22.0,0.4399999999999997,-25.0,-0.5000000000000002,-10.0,-0.20000000000000007,-1.0,-0.01999999999999999,-2.0,0.0,19.0,3.0,3.0,3.0,0.0,143.0,-4.0,-0.08000000000000007,-4.5,-99.0,-2.0,0.0
1112_Fribourg-Gottéron SC Bern,1,1112,SC Bern,0,Fribourg-Gottéron,3.0,-7.0,-0.14000000000000012,4.0,0.08000000000000007,-2.5799999999999983,-215.0,-5.0,1.0,0.019999999999999997,0.06000000000000005,-10.0,-0.20000000000000018,5.0,0.09999999999999964,-15.0,-0.30000000000000004,-1.0,-0.020000000000000018,1.0,0.020000000000000004,-2.0,0.0,5.0,1.0,2.0,2.0,-1.0,55.0,24.0,0.47999999999999954,-2.870000000000001,3081.0,62.0,0.0
1112_HC Davos ZSC Lions,1,1112,ZSC Lions,1,HC Davos,19.0,42.0,0.8399999999999999,0.0,0.0,3.5,3665.0,73.0,4.0,0.07999999999999999,0.3799999999999999,-12.0,-0.2400000000000002,6.0,0.1200000000000001,-11.0,-0.21999999999999997,10.0,0.19999999999999996,-2.0,-0.039999999999999994,-1.0,1.0,51.0,3.0,-2.0,2.0,2.0,177.0,-14.0,-0.2799999999999998,6.24,-2376.0,-48.0,0.0
1112_Kloten Flyers SC Bern,1,1112,SC Bern,0,Kloten Flyers,5.0,11.0,0.2200000000000002,11.0,0.21999999999999997,-4.679999999999993,1112.0,22.0,6.0,0.12,0.10000000000000009,-13.0,-0.26000000000000023,1.0,0.020000000000000018,-21.0,-0.41999999999999993,2.0,0.040000000000000036,-2.0,-0.04,-4.0,-1.0,46.0,1.0,1.0,2.0,-1.0,127.0,30.0,0.5999999999999996,-1.9299999999999997,2392.0,48.0,0.0
1112_SC Bern ZSC Lions,1,1112,ZSC Lions,0,SC Bern,17.0,10.0,0.19999999999999973,-11.0,-0.21999999999999997,6.609999999999999,442.0,9.0,-5.0,-0.1,0.33999999999999986,1.0,0.020000000000000018,4.0,0.08000000000000007,10.0,0.19999999999999996,17.0,0.33999999999999997,1.0,0.020000000000000004,1.0,1.0,17.0,2.0,-4.0,1.0,1.0,44.0,-17.0,-0.33999999999999986,10.42,-3164.0,-64.0,0.0
1213_EHC Biel Fribourg-Gottéron,1,1213,Fribourg-Gottéron,1,EHC Biel,-3.0,-29.0,-0.5800000000000001,-2.0,-0.039999999999999925,-1.25,-2819.0,-56.0,5.0,0.1,-0.05999999999999961,38.0,0.7600000000000002,3.0,0.06000000000000005,37.0,0.7399999999999998,-8.0,-0.16000000000000003,4.0,0.08000000000000002,-3.0,-1.0,-11.0,-1.0,2.0,0.0,-1.0,-27.0,5.0,0.10000000000000053,-3.8900000000000006,1057.0,21.0,0.0
1213_EV Zug HC Lugano,0,1213,HC Lugano,0,EV Zug,9.0,16.0,0.3199999999999994,1.0,0.020000000000000018,0.8400000000000034,3230.0,64.0,0.0,0.0,0.18000000000000016,15.0,0.30000000000000027,1.0,0.020000000000000018,12.0,0.24,7.0,0.14,0.0,0.0,1.0,2.0,31.0,3.0,-1.0,2.0,1.0,127.0,6.0,0.1200000000000001,2.4800000000000004,298.0,6.0,0.0
1213_EV Zug SC Bern,1,1213,SC Bern,1,EV Zug,3.0,35.0,0.7000000000000002,13.0,0.26,-3.3699999999999903,2344.0,46.0,-2.0,-0.039999999999999994,0.06000000000000005,37.0,0.7400000000000002,3.0,0.05999999999999961,29.0,0.5800000000000001,1.0,0.020000000000000018,-5.0,-0.09999999999999998,1.0,0.0,43.0,3.0,0.0,2.0,1.0,161.0,1.0,0.019999999999999574,0.3299999999999983,-786.0,-15.0,0.0
1213_Fribourg-Gottéron SC Bern,1,1213,SC Bern,1,Fribourg-Gottéron,-6.0,26.0,0.5200000000000005,6.0,0.12,-0.9899999999999949,2217.0,44.0,-4.0,-0.07999999999999999,-0.1200000000000001,6.0,0.1200000000000001,-2.0,-0.040000000000000036,9.0,0.18000000000000016,-5.0,-0.09999999999999998,-9.0,-0.18,5.0,0.0,31.0,1.0,-1.0,0.0,1.0,77.0,-9.0,-0.1800000000000006,-1.370000000000001,-1639.0,-32.0,0.0
1213_Fribourg-Gottéron ZSC Lions,0,1213,ZSC Lions,0,Fribourg-Gottéron,11.0,37.0,0.7400000000000002,0.0,0.0,3.0,4304.0,86.0,-7.0,-0.13999999999999999,0.21999999999999975,-8.0,-0.16000000000000014,1.0,0.020000000000000018,-12.0,-0.24,12.0,0.24,2.0,0.039999999999999994,5.0,2.0,39.0,1.0,2.0,0.0,1.0,123.0,23.0,0.45999999999999996,3.6499999999999986,1497.0,30.0,0.0
1213_Genève-Servette HC SC Bern,1,1213,SC Bern,1,Genève-Servette HC,-23.0,48.0,0.9600000000000009,5.0,0.10000000000000009,0.7800000000000011,4492.0,89.0,5.0,0.1,-0.45999999999999996,22.0,0.43999999999999995,-5.0,-0.10000000000000009,28.0,0.56,-22.0,-0.43999999999999995,-8.0,-0.15999999999999998,-1.0,-3.0,65.0,0.0,8.0,0.0,1.0,230.0,-17.0,-0.33999999999999986,-8.440000000000001,-1108.0,-22.0,0.0
1213_HC Davos ZSC Lions,1,1213,ZSC Lions,1,HC Davos,18.0,50.0,1.0,1.0,0.020000000000000018,3.4200000000000017,6495.0,130.0,-2.0,-0.03999999999999998,0.3599999999999999,21.0,0.41999999999999993,13.0,0.2599999999999998,9.0,0.17999999999999994,6.0,0.12,9.0,0.18000000000000002,1.0,2.0,55.0,3.0,5.0,2.0,1.0,235.0,-13.0,-0.2599999999999998,4.27,-702.0,-14.0,0.0
1314_Fribourg-Gottéron HC Ambri-Piotta,0,1314,HC Ambri-Piotta,1,Fribourg-Gottéron,25.0,17.0,0.33999999999999986,1.0,0.020000000000000018,0.8900000000000006,1948.0,39.0,-3.0,-0.060000000000000005,0.5,24.0,0.48,33.0,0.6599999999999999,18.0,0.3600000000000001,-4.0,-0.07999999999999996,5.0,0.1,-1.0,0.0,19.0,4.0,8.0,3.0,0.0,198.0,-43.0,-0.8599999999999999,1.7399999999999984,-4087.0,-82.0,0.0
1314_Fribourg-Gottéron Kloten Flyers,1,1314,Kloten Flyers,1,Fribourg-Gottéron,4.0,-4.0,-0.08000000000000007,2.0,0.039999999999999925,-1.3100000000000023,443.0,9.0,-4.0,-0.07999999999999999,0.08000000000000007,26.0,0.52,17.0,0.33999999999999986,12.0,0.24,-6.0,-0.12,9.0,0.18000000000000002,-3.0,3.0,-17.0,1.0,2.0,0.0,0.0,-9.0,-18.0,-0.3599999999999999,-1.4100000000000001,-395.0,-8.0,0.0
1314_Genève-Servette HC HC Lugano,0,1314,HC Lugano,0,Genève-Servette HC,16.0,13.0,0.26000000000000023,6.0,0.12,-1.980000000000004,1598.0,32.0,3.0,0.06,0.3200000000000003,19.0,0.38000000000000034,18.0,0.3600000000000001,10.0,0.20000000000000018,-7.0,-0.1399999999999999,3.0,0.06,2.0,0.0,2.0,10.0,3.0,7.0,1.0,244.0,-30.0,-0.5999999999999996,-0.8299999999999983,-2639.0,-53.0,0.0
1314_Genève-Servette HC ZSC Lions,1,1314,ZSC Lions,1,Genève-Servette HC,-9.0,24.0,0.48,3.0,0.06000000000000005,0.480000000000004,2702.0,54.0,2.0,0.04000000000000001,-0.17999999999999972,22.0,0.43999999999999995,-9.0,-0.17999999999999972,24.0,0.48,-7.0,-0.1399999999999999,0.0,0.0,5.0,-5.0,19.0,13.0,3.0,9.0,1.0,333.0,8.0,0.16000000000000014,-4.350000000000001,966.0,20.0,0.0
1314_HC Davos Kloten Flyers,1,1314,Kloten Flyers,1,HC Davos,4.0,4.0,0.08000000000000007,2.0,0.039999999999999925,-0.7099999999999937,906.0,18.0,1.0,0.020000000000000018,0.08000000000000007,12.0,0.2400000000000002,10.0,0.20000000000000018,7.0,0.1399999999999999,-7.0,-0.14,2.0,0.039999999999999994,0.0,1.0,-14.0,-3.0,0.0,-4.0,0.0,-123.0,-21.0,-0.41999999999999993,-1.6699999999999982,-1539.0,-30.0,0.0
1314_Kloten Flyers ZSC Lions,1,1314,ZSC Lions,0,Kloten Flyers,-20.0,14.0,0.2799999999999998,-3.0,-0.05999999999999994,2.6700000000000017,922.0,19.0,0.0,0.0,-0.3999999999999999,10.0,0.19999999999999973,-22.0,-0.43999999999999995,24.0,0.48,-3.0,-0.05999999999999994,-5.0,-0.09999999999999999,5.0,-6.0,19.0,4.0,1.0,2.0,0.0,108.0,2.0,0.040000000000000036,-1.7600000000000016,-208.0,-4.0,0.0
1314_Lausanne HC ZSC Lions,1,1314,ZSC Lions,1,Lausanne HC,-63.0,2.0,0.03999999999999959,-3.0,-0.05999999999999994,1.7800000000000011,631.0,13.0,0.0,0.0,-1.2599999999999998,4.0,0.07999999999999963,-58.0,-1.16,11.0,0.21999999999999997,-7.0,-0.1399999999999999,-1.0,-0.01999999999999999,2.0,-3.0,-6.0,2.0,0.0,-1.0,0.0,-22.0,-7.0,-0.13999999999999968,-2.9700000000000024,302.0,6.0,0.0
1415_EHC Biel ZSC Lions,1,1415,ZSC Lions,1,EHC Biel,-6.0,-20.0,-0.40000000000000036,10.0,0.19999999999999996,-7.719999999999999,-2583.0,-52.0,0.0,0.0,-0.1200000000000001,58.0,1.1599999999999997,-14.0,-0.2799999999999998,49.0,0.98,7.0,0.1399999999999999,2.0,0.039999999999999994,1.0,-3.0,-24.0,1.0,4.0,2.0,0.0,37.0,8.0,0.1599999999999997,3.0600000000000005,908.0,19.0,0.0
1415_EV Zug HC Davos,1,1415,HC Davos,0,EV Zug,2.0,5.0,0.09999999999999964,8.0,0.16000000000000003,-3.450000000000003,1844.0,37.0,2.0,0.03999999999999998,0.040000000000000036,-6.0,-0.1200000000000001,-13.0,-0.26000000000000023,-12.0,-0.24,11.0,0.21999999999999997,-1.0,-0.020000000000000004,2.0,-1.0,2.0,1.0,3.0,1.0,0.0,59.0,11.0,0.21999999999999975,4.829999999999998,812.0,16.0,0.0
