Spieler,Pos,Team,year,GP,G,A,PTS,P/GP,PIM Total,+/-,Number of year,A1,A2,GWG,EQG,EQA,PPG,PPA,SHG,SHA,SOG,S%,SOG/GP,2' ,5',10',GM,MP
Rathgeb Yannick,Verteidiger,Fribourg-Gottéron,15-16,5,0,1,1,0.2,6,-3,1,0,1,0,0,1,0,0,0,0,9,0,1.8,3,0,0,0,0
Reber Jörg,Verteidiger,SCL Tigers,10-11,4,0,1,1,0.25,2,-2,1,1,0,0,0,0,0,1,0,0,17,0,4.25,1,0,0,0,0
Redenbach Tyler,Stürmer,HC Davos,14-15,11,0,4,4,0.36,0,1,1,4,0,0,0,2,0,2,0,0,21,0,1.91,0,0,0,0,0
Reichert Marc,Stürmer,HC Ambri-Piotta,13-14,4,1,1,2,0.5,2,-2,1,1,0,0,1,0,0,1,0,0,5,20,1.25,1,0,0,0,0
Reichert Marc,Stürmer,SC Bern,08-09,6,0,1,1,0.17,6,-1,1,0,1,0,0,1,0,0,0,0,9,0,1.5,3,0,0,0,0
Reichert Marc,Stürmer,SC Bern,09-10,15,4,3,7,0.47,12,8,1,1,2,2,3,3,1,0,0,0,26,15.38,1.73,6,0,0,0,0
Reichert Marc,Stürmer,SC Bern,10-11,11,0,2,2,0.18,8,0,1,1,1,0,0,2,0,0,0,0,5,0,0.45,4,0,0,0,0
Reichert Marc,Stürmer,SC Bern,11-12,17,2,2,4,0.24,18,2,1,0,2,0,2,2,0,0,0,0,17,11.76,1.0,4,0,1,0,0
Reichert Marc,Stürmer,SC Bern,14-15,11,0,0,0,0.0,4,-2,1,0,0,0,0,0,0,0,0,0,10,0,0.91,2,0,0,0,0
Reichert Marc,Stürmer,SC Bern,15-16,14,0,0,0,0.0,0,-2,1,0,0,0,0,0,0,0,0,0,3,0,0.21,0,0,0,0,0
Reist Alain,Verteidiger,Fribourg-Gottéron,08-09,11,0,0,0,0.0,6,-2,1,0,0,0,0,0,0,0,0,0,4,0,0.36,3,0,0,0,0
Reist Alain,Verteidiger,Lausanne HC,13-14,3,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0
Reist Alain,Verteidiger,ZSC Lions,09-10,7,0,0,0,0.0,22,0,1,0,0,0,0,0,0,0,0,0,3,0,0.43,6,0,1,0,0
Repik Michal,Stürmer,EV Zug,14-15,3,0,2,2,0.67,0,0,1,2,0,0,0,2,0,0,0,0,13,0,4.33,0,0,0,0,0
Reuille Sebastien,Stürmer,HC Lugano,11-12,6,3,1,4,0.67,18,0,1,1,0,0,3,1,0,0,0,0,14,21.43,2.33,4,0,1,0,0
Reuille Sebastien,Stürmer,HC Lugano,12-13,7,0,1,1,0.14,2,-2,1,1,0,0,0,1,0,0,0,0,6,0,0.86,1,0,0,0,0
Reuille Sebastien,Stürmer,HC Lugano,13-14,5,0,0,0,0.0,0,-1,1,0,0,0,0,0,0,0,0,0,2,0,0.4,0,0,0,0,0
Reuille Sebastien,Stürmer,HC Lugano,14-15,6,2,2,4,0.67,0,0,1,1,1,0,1,2,1,0,0,0,6,33.33,1.0,0,0,0,0,0
Reuille Sebastien,Stürmer,HC Lugano,15-16,15,1,0,1,0.07,4,0,1,0,0,0,1,0,0,0,0,0,6,16.67,0.4,2,0,0,0,0
Riat Damien,Stürmer,Genève-Servette HC,15-16,4,1,2,3,0.75,10,0,1,2,0,0,1,0,0,2,0,0,6,16.67,1.5,5,0,0,0,0
Riesen Michel,Stürmer,HC Davos,08-09,21,9,3,12,0.57,4,-1,1,3,0,2,5,0,4,3,0,0,45,20,2.14,2,0,0,0,0
Rintanen Kimmo,Stürmer,HC Lugano,11-12,1,1,0,1,1.0,0,-1,1,0,0,0,1,0,0,0,0,0,4,25,4.0,0,0,0,0,0
Rintanen Kimmo,Stürmer,Kloten Flyers,08-09,15,6,7,13,0.87,2,-2,1,2,5,1,3,2,2,5,1,0,39,15.38,2.6,1,0,0,0,0
Rintanen Kimmo,Stürmer,Kloten Flyers,09-10,10,5,5,10,1.0,2,-2,1,5,0,1,2,2,3,3,0,0,29,17.24,2.9,1,0,0,0,0
Rintanen Kimmo,Stürmer,Kloten Flyers,10-11,16,3,2,5,0.31,6,1,1,0,2,2,3,1,0,1,0,0,29,10.34,1.81,3,0,0,0,0
Ritchie Byron,Stürmer,Genève-Servette HC,08-09,3,0,0,0,0.0,14,-2,1,0,0,0,0,0,0,0,0,0,5,0,1.67,2,0,1,0,0
Ritchie Byron,Stürmer,SC Bern,11-12,17,2,12,14,0.82,18,8,1,8,4,1,1,7,1,5,0,0,22,9.09,1.29,9,0,0,0,0
Ritchie Byron,Stürmer,SC Bern,12-13,20,7,15,22,1.1,20,3,1,10,5,2,4,8,2,6,1,1,33,21.21,1.65,10,0,0,0,0
Ritchie Byron,Stürmer,SC Bern,14-15,11,1,1,2,0.18,6,0,1,0,1,1,1,1,0,0,0,0,18,5.56,1.64,3,0,0,0,0
Rivera Christopher,Stürmer,Fribourg-Gottéron,15-16,5,0,0,0,0.0,14,-1,1,0,0,0,0,0,0,0,0,0,2,0,0.4,2,0,1,0,0
Rivera Christopher,Stürmer,Genève-Servette HC,09-10,20,2,7,9,0.45,6,-2,1,5,2,0,2,7,0,0,0,0,24,8.33,1.2,3,0,0,0,0
Rivera Christopher,Stürmer,Genève-Servette HC,12-13,7,0,2,2,0.29,20,0,1,1,1,0,0,2,0,0,0,0,10,0,1.43,5,0,1,0,0
Rivera Christopher,Stürmer,Genève-Servette HC,13-14,12,3,0,3,0.25,8,1,1,0,0,1,3,0,0,0,0,0,11,27.27,0.92,4,0,0,0,0
Rivera Christopher,Stürmer,Genève-Servette HC,14-15,4,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0,0,0,0
Rizzi Sandro,Verteidiger,HC Davos,08-09,21,1,9,10,0.48,18,9,1,6,3,0,1,5,0,4,0,0,24,4.17,1.14,9,0,0,0,0
Rizzi Sandro,Verteidiger,HC Davos,09-10,6,0,0,0,0.0,2,-2,1,0,0,0,0,0,0,0,0,0,4,0,0.67,1,0,0,0,0
Rizzi Sandro,Verteidiger,HC Davos,10-11,14,2,3,5,0.36,8,3,1,1,2,0,0,3,1,0,1,0,14,14.29,1.0,4,0,0,0,0
Rizzi Sandro,Verteidiger,HC Davos,11-12,4,0,0,0,0.0,0,-3,1,0,0,0,0,0,0,0,0,0,3,0,0.75,0,0,0,0,0
Rizzi Sandro,Verteidiger,HC Davos,12-13,7,0,0,0,0.0,2,-3,1,0,0,0,0,0,0,0,0,0,3,0,0.43,1,0,0,0,0
Rizzi Sandro,Verteidiger,HC Davos,13-14,6,0,0,0,0.0,0,-1,1,0,0,0,0,0,0,0,0,0,3,0,0.5,0,0,0,0,0
Robitaille Randy,Stürmer,HC Lugano,08-09,7,2,1,3,0.43,22,0,1,1,0,0,2,1,0,0,0,0,25,8,3.57,6,0,1,0,0
Robitaille Randy,Stürmer,HC Lugano,09-10,3,0,1,1,0.33,30,-3,1,0,1,0,0,0,0,1,0,0,2,0,0.67,0,0,1,1,0
Roche Travis,Verteidiger,SC Bern,08-09,4,0,3,3,0.75,6,-2,1,2,1,0,0,0,0,2,0,1,8,0,2.0,3,0,0,0,0
Roche Travis,Verteidiger,SC Bern,09-10,15,2,8,10,0.67,28,9,1,4,4,0,0,2,2,6,0,0,21,9.52,1.4,9,0,1,0,0
Roche Travis,Verteidiger,SC Bern,10-11,9,0,2,2,0.22,6,5,1,1,1,0,0,1,0,1,0,0,26,0,2.89,3,0,0,0,0
Roche Travis,Verteidiger,SC Bern,11-12,3,0,1,1,0.33,4,2,1,0,1,0,0,1,0,0,0,0,5,0,1.67,2,0,0,0,0
Roche Travis,Verteidiger,SC Bern,12-13,19,3,12,15,0.79,14,4,1,4,8,3,2,7,1,5,0,0,30,10,1.58,7,0,0,0,0
Rod Noah,Stürmer,Genève-Servette HC,13-14,12,1,3,4,0.33,4,3,1,1,2,0,1,3,0,0,0,0,8,12.5,0.67,2,0,0,0,0
Rod Noah,Stürmer,Genève-Servette HC,14-15,10,2,1,3,0.3,6,-4,1,1,0,1,1,0,1,0,0,1,21,9.52,2.1,3,0,0,0,0
Rod Noah,Stürmer,Genève-Servette HC,15-16,6,2,2,4,0.67,4,0,1,1,1,0,1,0,1,2,0,0,10,20,1.67,2,0,0,0,0
Romanenghi Matteo,Stürmer,HC Lugano,15-16,1,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0
Romy Kevin,Stürmer,Genève-Servette HC,12-13,7,3,1,4,0.57,4,5,1,1,0,1,3,0,0,1,0,0,12,25,1.71,2,0,0,0,0
Romy Kevin,Stürmer,Genève-Servette HC,13-14,12,3,3,6,0.5,8,1,1,2,1,0,1,3,2,0,0,0,25,12,2.08,4,0,0,0,0
Romy Kevin,Stürmer,Genève-Servette HC,14-15,6,0,1,1,0.17,0,-5,1,1,0,0,0,1,0,0,0,0,6,0,1.0,0,0,0,0,0
Romy Kevin,Stürmer,Genève-Servette HC,15-16,11,5,8,13,1.18,16,4,1,5,3,0,3,4,1,3,1,1,38,13.16,3.45,3,0,1,0,0
Romy Kevin,Stürmer,HC Lugano,08-09,5,0,2,2,0.4,2,0,1,1,1,0,0,2,0,0,0,0,12,0,2.4,1,0,0,0,0
Romy Kevin,Stürmer,HC Lugano,09-10,2,0,0,0,0.0,0,-1,1,0,0,0,0,0,0,0,0,0,2,0,1.0,0,0,0,0,0
Romy Kevin,Stürmer,HC Lugano,11-12,6,1,2,3,0.5,0,-3,1,0,2,1,1,2,0,0,0,0,14,7.14,2.33,0,0,0,0,0
Rosa Pavel,Stürmer,Fribourg-Gottéron,11-12,8,3,3,6,0.75,6,-2,1,1,2,0,3,1,0,2,0,0,18,16.67,2.25,3,0,0,0,0
Rosa Pavel,Stürmer,HC Lugano,12-13,4,1,2,3,0.75,2,-4,1,2,0,0,1,1,0,1,0,0,10,10,2.5,1,0,0,0,0
Rossi Matthias,Stürmer,EHC Biel,14-15,7,2,0,2,0.29,2,-3,1,0,0,0,1,0,1,0,0,0,13,15.38,1.86,1,0,0,0,0
Rossi Matthias,Stürmer,EV Zug,10-11,8,0,0,0,0.0,14,-1,1,0,0,0,0,0,0,0,0,0,6,0,0.75,2,0,1,0,0
Rossi Matthias,Stürmer,EV Zug,11-12,9,0,0,0,0.0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.11,1,0,0,0,0
Rossi Matthias,Stürmer,EV Zug,12-13,1,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0
Rothen Frederic,Stürmer,Kloten Flyers,08-09,7,1,0,1,0.14,4,-2,1,0,0,1,1,0,0,0,0,0,13,7.69,1.86,2,0,0,0,0
Rothen Frederic,Stürmer,Kloten Flyers,09-10,9,1,0,1,0.11,4,0,1,0,0,0,1,0,0,0,0,0,9,11.11,1.0,2,0,0,0,0
Rouiller Anthony,Verteidiger,EHC Biel,11-12,2,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0
Rouiller Anthony,Verteidiger,EHC Biel,12-13,2,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0
Roy Derek,Stürmer,SC Bern,15-16,13,3,9,12,0.92,42,5,1,5,4,1,1,4,1,5,1,0,34,8.82,2.62,6,0,3,0,0
Rubin Daniel,Stürmer,Genève-Servette HC,08-09,4,0,0,0,0.0,6,-4,1,0,0,0,0,0,0,0,0,0,6,0,1.5,3,0,0,0,0
Rubin Daniel,Stürmer,Genève-Servette HC,09-10,20,5,5,10,0.5,51,0,1,3,2,1,5,0,0,5,0,0,36,13.89,1.8,13,1,0,0,1
Rubin Daniel,Stürmer,Genève-Servette HC,10-11,5,2,1,3,0.6,18,1,1,0,1,1,1,0,1,1,0,0,14,14.29,2.8,4,0,1,0,0
Rubin Daniel,Stürmer,Genève-Servette HC,14-15,12,1,3,4,0.33,18,-4,1,1,2,1,0,2,1,1,0,0,18,5.56,1.5,9,0,0,0,0
Rubin Daniel,Stürmer,Genève-Servette HC,15-16,7,0,2,2,0.29,8,-1,1,1,1,0,0,0,0,1,0,1,10,0,1.43,4,0,0,0,0
Rubin Daniel,Stürmer,SC Bern,12-13,18,0,2,2,0.11,16,2,1,2,0,0,0,2,0,0,0,0,20,0,1.11,8,0,0,0,0
Ruefenacht Thomas,Stürmer,EV Zug,09-10,13,0,1,1,0.08,32,0,1,0,1,0,0,1,0,0,0,0,20,0,1.54,6,0,2,0,0
Ruefenacht Thomas,Stürmer,EV Zug,10-11,10,1,1,2,0.2,47,-4,1,0,1,1,1,1,0,0,0,0,18,5.56,1.8,6,1,1,1,0
Ruefenacht Thomas,Stürmer,EV Zug,11-12,9,2,2,4,0.44,8,2,1,1,1,1,1,2,0,0,1,0,24,8.33,2.67,4,0,0,0,0
Ruefenacht Thomas,Stürmer,HC Lugano,12-13,3,1,0,1,0.33,2,-3,1,0,0,0,1,0,0,0,0,0,7,14.29,2.33,1,0,0,0,0
Ruefenacht Thomas,Stürmer,HC Lugano,13-14,5,1,1,2,0.4,26,-2,1,1,0,0,1,0,0,1,0,0,13,7.69,2.6,3,0,2,0,0
Ruefenacht Thomas,Stürmer,SC Bern,14-15,11,0,2,2,0.18,4,-5,1,1,1,0,0,0,0,2,0,0,25,0,2.27,2,0,0,0,0
Ruefenacht Thomas,Stürmer,SC Bern,15-16,14,3,4,7,0.5,20,4,1,3,1,1,1,3,2,1,0,0,39,7.69,2.79,10,0,0,0,0
Rundblad David,Verteidiger,ZSC Lions,15-16,4,0,1,1,0.25,0,-4,1,0,1,0,0,1,0,0,0,0,6,0,1.5,0,0,0,0,0
Ryser Sven,Stürmer,HC Davos,12-13,6,1,0,1,0.17,2,0,1,0,0,1,1,0,0,0,0,0,7,14.29,1.17,1,0,0,0,0
