Spieler,Pos,Team,Year,GP,G,SOG,S%,SOG/GP,A,PTS,P/GP,PIM Total,+/-,A1,A2,GWG,EQG,EQA,PPG,PPA,SHG,SHA,2' ,5',10',GM,MP,PS,PSG,PSM,PS%,GWG PS,Number of year
Brown Curtis,Forward,EHC Biel,09-10,49,9,62,14.52,1.27,17,26,0.53,24,-19,7,10,0,5,5,4,12,0,0,12,0,0,0,0,,,,,,1
Brown Curtis,Forward,EHC Biel,10-11,29,3,33,9.09,1.14,5,8,0.28,20,-5,4,1,0,2,4,1,1,0,0,10,0,0,0,0,,,,,,1
Brown Curtis,Forward,Kloten Flyers,08-09,44,10,81,12.35,1.84,13,23,0.52,26,12,9,4,2,6,9,3,3,1,1,13,0,0,0,0,,,,,,1
Brown Dustin,Forward,ZSC Lions,12-13,16,8,45,17.78,2.81,5,13,0.81,26,3,5,0,1,7,4,1,0,0,1,13,0,0,0,0,,,,,,1
Bruderer Sandro,Forward,SC Rapperswil-Jona Lakers,08-09,1,0,0,-,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Bruderer Sandro,Forward,SC Rapperswil-Jona Lakers,09-10,7,0,1,0,0.14,0,0,0.0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Brunner Adrian,Forward,HC Ambri-Piotta,09-10,48,7,60,11.67,1.25,12,19,0.4,40,-11,4,8,1,6,10,1,2,0,0,20,0,0,0,0,,,,,,1
Brunner Adrian,Forward,HC Ambri-Piotta,10-11,43,3,28,10.71,0.65,10,13,0.3,22,-12,7,3,0,2,8,1,2,0,0,6,0,1,0,0,,,,,,1
Brunner Adrian,Forward,SC Bern,11-12,22,1,11,9.09,0.5,2,3,0.14,2,-2,2,0,0,1,2,0,0,0,0,1,0,0,0,0,,,,,,1
Brunner Adrian,Forward,SCL Tigers,12-13,26,1,28,3.57,1.08,3,4,0.15,20,-9,2,1,0,1,2,0,1,0,0,5,0,1,0,0,,,,,,1
Brunner Damien,Forward,EV Zug,08-09,47,12,103,11.65,2.19,14,26,0.55,18,9,9,5,2,9,13,3,1,0,0,9,0,0,0,0,,,,,,1
Brunner Damien,Forward,EV Zug,09-10,47,23,182,12.64,3.87,35,58,1.23,22,13,22,13,5,16,19,7,16,0,0,11,0,0,0,0,,,,,,1
Brunner Damien,Forward,EV Zug,10-11,40,19,132,14.39,3.3,27,46,1.15,34,18,16,11,4,13,18,6,9,0,0,12,0,1,0,0,,,,,,1
Brunner Damien,Forward,EV Zug,11-12,45,24,198,12.12,4.4,36,60,1.33,48,18,26,10,1,19,20,4,15,1,1,14,0,2,0,0,,,,,,1
Brunner Damien,Forward,EV Zug,12-13,33,25,156,16.03,4.73,32,57,1.73,49,18,20,12,2,15,22,10,10,0,0,7,1,1,1,0,,,,,,1
Brunner Damien,Forward,HC Lugano,14-15,20,11,63,17.46,3.15,5,16,0.8,30,2,3,2,1,6,4,5,1,0,0,10,0,1,0,0,3.0,0.0,3.0,0,0.0,1
Brunner Damien,Forward,HC Lugano,15-16,36,13,132,9.85,3.67,21,34,0.94,18,16,12,9,0,9,14,2,7,2,0,9,0,0,0,0,4.0,3.0,1.0,75,2.0,1
Brunold Alain,Forward,Fribourg-Gottéron,14-15,1,0,3,0,3.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Brägger Mathias,Forward,EHC Biel,08-09,29,0,9,0,0.31,0,0,0.0,2,-13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,1
Brûlé Gilbert,Forward,ZSC Lions,12-13,14,0,21,0,1.5,6,6,0.43,4,3,4,2,0,0,2,0,4,0,0,2,0,0,0,0,,,,,,1
Brügger Sandro,Forward,Fribourg-Gottéron,11-12,38,1,28,3.57,0.74,2,3,0.08,6,0,2,0,0,1,2,0,0,0,0,3,0,0,0,0,,,,,,1
Brügger Sandro,Forward,Fribourg-Gottéron,12-13,33,6,43,13.95,1.3,7,13,0.39,10,9,3,4,0,6,7,0,0,0,0,5,0,0,0,0,,,,,,1
Brügger Sandro,Forward,Fribourg-Gottéron,13-14,30,2,28,7.14,0.93,1,3,0.1,6,-3,0,1,0,2,1,0,0,0,0,3,0,0,0,0,2.0,1.0,1.0,50,1.0,1
Brügger Sandro,Forward,Fribourg-Gottéron,14-15,42,2,29,6.90,0.69,2,4,0.1,8,1,0,2,0,2,2,0,0,0,0,4,0,0,0,0,1.0,0.0,1.0,0,0.0,1
Brügger Sandro,Forward,Fribourg-Gottéron,15-16,5,0,3,0,0.6,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Bucher Tim,Defender,SC Rapperswil-Jona Lakers,08-09,4,0,2,0,0.5,0,0,0.0,4,-2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,1
Bucher Tim,Defender,SC Rapperswil-Jona Lakers,09-10,44,0,14,0,0.32,1,1,0.02,6,-11,1,0,0,0,1,0,0,0,0,3,0,0,0,0,,,,,,1
Bucher Tim,Defender,SC Rapperswil-Jona Lakers,10-11,21,1,2,50,0.1,0,1,0.05,2,-6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,,,,,1
Bucher Tim,Defender,SC Rapperswil-Jona Lakers,11-12,16,0,3,0,0.19,1,1,0.06,14,-7,1,0,0,0,1,0,0,0,0,7,0,0,0,0,,,,,,1
Bucher Tobias,Forward,EV Zug,08-09,15,0,2,0,0.13,1,1,0.07,27,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,,,,,,1
