Team,Year,GF,SOG,S%,SOG/GP,PK SI,PK SI/GP,PK GA,PK GA/GP,PK%,PKT,PK time/GP,SHG,PK GF/GP,GF/GP,GA,GA/GP,GF even,GF even/GP,GA even,GA even/GP,PPG,PPG/GP,PP GA,PP GA/GP,SOWGF,SOWGA,2' ,5',10',GM,MP,PIM Total,PP OP,PP OP/GP,PP%,PPT,PP time/GP,Number of year
EV Zug,1213,172,1'515,11.35,30,236,4.72,42,0.84,82.2,366:39,07:19,4,0.08,3.44,154,3.08,114,2.28,101,2.02,51,1.02,7,0.14,3,4,262,4,7,3,1,694,236,4.72,21.61,360:05,07:12,1
EV Zug,1314,132,1'721,7.67,34,225,4.5,47,0.94,79.11,326:24,06:31,6,0.12,2.64,156,3.12,95,1.9,98,1.96,30,0.6,4,0.08,1,7,249,2,10,1,1,648,207,4.14,14.49,344:23,06:53,1
EV Zug,1415,166,1'569,10.58,31,211,4.22,38,0.76,81.99,357:20,07:08,9,0.18,3.32,126,2.52,115,2.3,81,1.62,37,0.74,3,0.06,5,4,244,4,5,4,0,638,196,3.92,18.88,312:06,06:14,1
EV Zug,1516,161,1'667,9.66,33,188,3.76,34,0.68,81.91,309:17,06:11,3,0.06,3.22,138,2.76,113,2.26,98,1.96,43,0.86,3,0.06,2,3,212,6,4,7,0,634,195,3.9,22.05,307:13,06:08,1
Fribourg-Gottéron,0910,145,1'735,8.36,35,228,4.56,42,0.84,81.58,367:07,07:20,6,0.12,2.9,160,3.2,101,2.02,107,2.14,35,0.7,8,0.16,3,3,256,1,11,1,0,647,219,4.38,15.98,329:29,06:35,1
Fribourg-Gottéron,1011,157,1'507,10.42,30,208,4.16,41,0.82,80.29,344:50,06:53,3,0.06,3.14,154,3.08,103,2.06,106,2.12,45,0.9,4,0.08,6,3,241,4,7,5,1,692,208,4.16,21.63,323:51,06:28,1
Fribourg-Gottéron,1112,156,1'586,9.84,32,188,3.76,28,0.56,85.11,314:53,06:17,3,0.06,3.12,120,2.4,115,2.3,84,1.68,35,0.7,5,0.1,3,3,225,4,7,4,0,620,203,4.06,17.24,331:20,06:37,1
Fribourg-Gottéron,1213,163,1'568,10.4,31,227,4.54,35,0.7,84.58,364:32,07:17,2,0.04,3.26,123,2.46,109,2.18,81,1.62,45,0.9,3,0.06,7,4,250,2,6,1,1,610,226,4.52,19.91,345:52,06:55,1
Fribourg-Gottéron,1314,151,1'616,9.34,32,196,3.92,30,0.6,84.69,320:50,06:25,2,0.04,3.02,147,2.94,115,2.3,104,2.08,32,0.64,10,0.2,2,3,220,5,12,5,0,685,176,3.52,18.18,285:44,05:42,1
Fribourg-Gottéron,1415,144,1'630,8.83,33,195,3.9,32,0.64,83.59,317:22,06:20,3,0.06,2.88,177,3.54,106,2.12,135,2.7,29,0.58,7,0.14,6,3,229,3,8,3,0,613,191,3.82,15.18,344:37,06:53,1
Fribourg-Gottéron,1516,148,1'399,10.58,28,165,3.3,41,0.82,75.15,253:19,05:03,5,0.1,2.96,154,3.08,101,2.02,104,2.08,40,0.8,6,0.12,2,3,201,5,5,7,0,617,197,3.94,20.3,295:31,05:54,1
