Spieler,Pos,Team,year,GP,G,A,PTS,P/GP,PIM Total,+/-,Number of year,A1,A2,GWG,EQG,EQA,PPG,PPA,SHG,SHA,SOG,S%,SOG/GP,2' ,5',10',GM,MP
Wick Jeremy,Forward,Genève-Servette HC,15-16,2,1,0,1,0.5,0,0,1,0,0,0,0,0,1,0,0,0,2,50,1.0,0,0,0,0,0
Wick Roman,Forward,Kloten Flyers,08-09,15,5,9,14,0.93,12,5,1,5,4,3,1,5,2,3,2,1,45,11.11,3.0,1,0,1,0,0
Wick Roman,Forward,Kloten Flyers,09-10,10,4,6,10,1.0,8,4,1,5,1,0,2,3,2,3,0,0,36,11.11,3.6,4,0,0,0,0
Wick Roman,Forward,Kloten Flyers,11-12,5,1,1,2,0.4,4,0,1,0,1,0,1,0,0,1,0,0,8,12.5,1.6,2,0,0,0,0
Wick Roman,Forward,ZSC Lions,12-13,12,5,5,10,0.83,8,1,1,3,2,1,2,3,3,1,0,1,37,13.51,3.08,4,0,0,0,0
Wick Roman,Forward,ZSC Lions,13-14,18,3,6,9,0.5,20,0,1,3,3,0,2,5,1,1,0,0,52,5.77,2.89,5,0,1,0,0
Wick Roman,Forward,ZSC Lions,14-15,18,6,9,15,0.83,22,1,1,4,5,1,4,7,2,1,0,1,67,8.96,3.72,6,0,1,0,0
Wick Roman,Forward,ZSC Lions,15-16,4,0,0,0,0.0,4,-1,1,0,0,0,0,0,0,0,0,0,9,0,2.25,2,0,0,0,0
Widing Daniel,Forward,HC Davos,09-10,6,2,2,4,0.67,2,-1,1,2,0,0,1,1,1,1,0,0,25,8,4.17,1,0,0,0,0
Wiedmer Sandro,Defender,SC Bern,14-15,4,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0
Wiedmer Sandro,Defender,SC Bern,15-16,3,1,0,1,0.33,0,1,1,0,0,0,1,0,0,0,0,0,2,50,0.67,0,0,0,0,0
Wieser Dino,Forward,HC Davos,08-09,20,2,2,4,0.2,16,1,1,2,0,1,2,2,0,0,0,0,33,6.06,1.65,3,0,1,0,0
Wieser Dino,Forward,HC Davos,09-10,4,0,0,0,0.0,4,-1,1,0,0,0,0,0,0,0,0,0,4,0,1.0,2,0,0,0,0
Wieser Dino,Forward,HC Davos,10-11,14,2,4,6,0.43,28,4,1,3,1,0,2,3,0,1,0,0,21,9.52,1.5,14,0,0,0,0
Wieser Dino,Forward,HC Davos,11-12,4,0,1,1,0.25,6,-2,1,1,0,0,0,0,0,1,0,0,8,0,2.0,3,0,0,0,0
Wieser Dino,Forward,HC Davos,12-13,6,2,1,3,0.5,6,0,1,1,0,1,2,1,0,0,0,0,14,14.29,2.33,3,0,0,0,0
Wieser Dino,Forward,HC Davos,13-14,6,0,1,1,0.17,32,-2,1,1,0,0,0,1,0,0,0,0,9,0,1.5,6,0,2,0,0
Wieser Dino,Forward,HC Davos,14-15,15,2,1,3,0.2,30,4,1,1,0,1,1,1,1,0,0,0,42,4.76,2.8,15,0,0,0,0
Wieser Dino,Forward,HC Davos,15-16,9,2,3,5,0.56,18,1,1,1,2,0,1,3,1,0,0,0,14,14.29,1.56,9,0,0,0,0
Wieser Marc,Forward,EHC Biel,11-12,3,0,2,2,0.67,16,0,1,1,1,0,0,1,0,1,0,0,5,0,1.67,3,0,1,0,0
Wieser Marc,Forward,EHC Biel,12-13,7,2,1,3,0.43,8,-4,1,1,0,1,1,0,1,1,0,0,13,15.38,1.86,4,0,0,0,0
Wieser Marc,Forward,HC Davos,08-09,16,1,1,2,0.12,10,1,1,0,1,0,1,1,0,0,0,0,6,16.67,0.38,5,0,0,0,0
Wieser Marc,Forward,HC Davos,09-10,6,0,0,0,0.0,4,0,1,0,0,0,0,0,0,0,0,0,7,0,1.17,2,0,0,0,0
Wieser Marc,Forward,HC Davos,10-11,14,3,1,4,0.29,24,5,1,1,0,2,3,1,0,0,0,0,10,30,0.71,7,0,1,0,0
Wieser Marc,Forward,HC Davos,14-15,12,3,4,7,0.58,8,4,1,4,0,0,3,3,0,1,0,0,23,13.04,1.92,4,0,0,0,0
Wieser Marc,Forward,HC Davos,15-16,9,4,4,8,0.89,12,5,1,2,2,2,2,2,1,2,1,0,20,20,2.22,6,0,0,0,0
Williams Jason,Forward,HC Ambri-Piotta,13-14,2,0,1,1,0.5,0,-2,1,0,1,0,0,0,0,1,0,0,3,0,1.5,0,0,0,0,0
Winkler Benjamin,Defender,Kloten Flyers,08-09,14,1,2,3,0.21,12,6,1,1,1,0,1,1,0,1,0,0,5,20,0.36,6,0,0,0,0
